编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,设定类型,数值控制边界,与剧情交互方式,毒点
SY-047,init|plan|write,设定,知识补充,真假规则|表面规则|隐藏规则|错误规则|规则分层,真假规则怎么分层|错误规则怎么设计|规则怎么有推理空间,悬疑,把规则按表层、矛盾、隐藏、错误四层拆开设计，让读者既能先活命，又能继续怀疑。,真假规则分层能让规则系统既有可执行性，也有足够的推理空间和反转余地。,表层规则保命，矛盾规则制造怀疑，隐藏规则指向真相，错误规则专门负责诱杀或误导。,真假规则分层,至少明确每层规则的功能|识别线索|违反后果|最终关系,用于安排角色试错、读者参与推理和章节级认知翻盘,
SY-048,init|plan|write,设定,知识补充,天赋等级|SSS天赋|升级机制|共鸣|天赋系统,天赋系统怎么设|SSS级怎么不崩|天赋怎么升级,悬疑|游戏,稀有度、成长性和限制必须绑定，最高级天赋越强，越要有明显使用边界和获取门槛。,天赋系统好看，不在于一开始就给神技，而在于读者知道它强、稀有、还能成长，但绝非白拿。,等级、使用条件、升级材料、共鸣搭配和突破方式一起设计，系统才既有爽感也有长期性。,天赋稀有度与升级,至少明确稀有度分层|升级路径|使用限制|组合效果,用于维持成长期待、奖励阶段突破和设计队伍间能力互补,
SY-049,init|plan|write,设定,知识补充,副本设计|任务目标|奖励|时间限制|支线任务,副本怎么设计更完整|任务奖励怎么配|限时副本怎么立,悬疑|游戏,副本至少同时给目标、时间限制、规则系统和奖励闭环，让角色知道为什么要冒险、为什么不能拖。,副本之所以好看，是因为目标、危险、时限和回报形成了同一套逼人前进的闭环。,主线任务推动通关，支线任务引诱冒险，隐藏奖励鼓励探索，倒计时负责把一切拧紧。,副本目标奖励倒计时,至少明确主任务|可选任务|失败条件|奖励梯度,用于支撑闯关、评分、隐藏路线和资源获取逻辑,
SY-050,init|plan|write,设定,知识补充,规则校验|边界情况|覆盖性|逻辑自洽|规则漏洞,规则怎么自检|规则漏洞怎么查|设定怎么防自打脸,悬疑|奇幻|科幻,从角色、场景、时间和行为四个维度交叉检查规则覆盖，别等写到后面才发现有巨大漏洞。,规则校验不是多余工序，而是防止设定自己打自己脸的最后保险丝。,谁受规则约束、什么场景适用、什么时间例外、边界行为怎么判，都应提前过一遍。,规则覆盖校验,至少检查角色|场景|时间|行为四类边界情况,用于提前发现逻辑漏洞，保证后续推理、冲突和生路都站得住,
SY-051,init|plan|write,设定,知识补充,分支旗标|属性门槛|隐藏选项|路线变量|剧情分支,分支怎么记录|隐藏选项怎么触发|属性门槛怎么设计,游戏|悬疑,给重要选择设置可追踪旗标和属性门槛，让分支差异能在后文持续兑现。,分支真正有价值，不是当场换个回答，而是它会在未来某一章突然回头改写命运。,忠诚值、智力门槛、隐藏道具、路线标记都可以成为分支触发条件，但必须能回收。,分支旗标与属性门槛,至少明确触发变量|记录方式|回收节点|实质后果,用于设计多结局、隐藏线、真结局条件和玩家式探索快感,
SY-052,init|plan|write,设定,知识补充,暴露值|追猎风险|能力暴露|高位关注|追踪机制,开挂后怎么被盯上|能力暴露风险怎么设|越用越危险怎么写,悬疑|玄幻|科幻,把能力暴露设计成可累积的风险值，每次高调使用都该换来后续追猎或审视。,暴露值机制能让强力能力越好用越危险，持续逼角色在爽感和隐患之间权衡。,暴露可能引来高位存在、敌对组织、国家机构或同级竞争者的注意，因此每次使用都应留下痕迹。,暴露值与追猎风险,至少明确暴露来源|累计方式|触发阈值|被谁发现|后果层级,用于限制开挂频率、抬高使用代价并制造中后期被追猎压力,
SY-053,init|plan|write,设定,知识补充,兑换货币|主神空间|商店经济|资源结算|交易体系,主神空间怎么兑换|货币体系怎么设|系统商店怎么平衡,悬疑|游戏,货币获取、物价、稀缺品和折价回收要一起设计，别让兑换商店沦为无限提款机。,兑换经济一旦成立，副本奖励、资源抉择和队伍交易就会自然长出张力。,基础货币负责生存，稀有凭证负责关键跳级，限购和回收损耗负责防止体系被刷穿。,兑换货币与主神经济,至少明确货币来源|常见物价|稀缺凭证|限购规则|回收折损,用于推动副本收益选择、队伍分账、资源囤积和中期经济压力,
SY-054,init|plan|write,设定,知识补充,天赋共鸣|克制链|天赋组合|相性系统|能力联动,天赋怎么联动|能力怎么互相克制|相性系统怎么设计,悬疑|游戏|玄幻,单个天赋强度之外，还要设计组合收益和克制关系，让队伍搭配和对局判断真正有意义。,天赋系统一旦有共鸣和克制链，剧情就不再只是比面板，而是比配置和读局。,感知类与记录类可共鸣，净化类克制污染类，强控制可能被规则豁免反制，这些关系越清楚越耐写。,天赋共鸣与克制链,至少明确核心共鸣组合|基础克制关系|叠加上限|反制手段,用于设计团队互补、敌我博弈、天赋升级期待和副本内破局组合技,
SY-055,init|plan|write,设定,知识补充,高维层级|规则制定者|执行者|代理人|世界秩序,规则是谁定的|高维存在怎么分层|幕后秩序怎么搭,悬疑|奇幻|科幻,把制定规则的人、执行规则的力量和落地代理分清，不要所有异常都糊成一个万能幕后。,高维层级清楚，世界观的压迫感和解释力才会稳，不同层级也才有不同叙事用途。,制定者负责目的，执行者负责维持秩序，代理人负责在副本中具体显形，这样真相展开才有台阶。,制定者-执行者-代理者层级,至少明确三层职能|互动边界|降临方式|信息可见度,用于支撑幕后真相、逐层揭密、敌我权限差和不同级别的压迫来源,
SY-056,init|plan|write,设定,知识补充,现实联动|副本失败后果|灾难机制|通关祝福|世界反馈,副本和现实怎么联动|失败后果怎么设计|通关奖励怎么影响现实,悬疑|科幻|奇幻,让副本结果真实改写现实资源、舆论、秩序或灾难等级，别让现实线只是背景板。,现实与副本联动得越紧，角色每一次选择的国家级、社会级重量就越能站住。,失败造成区域污染、基础设施崩溃或人口损失，成功带来净化、资源、技术或国家士气加成，都能放大舞台。,灾难与祝福现实联动,至少明确失败后果|成功收益|作用范围|持续时间|可逆性,用于建立宏观 stakes、现实线压力和副本之外的政治社会反应,
SY-057,init|plan|write,设定,知识补充,评级结算|评分系统|隐藏评分|结算权重|通关评价,副本怎么评分|评级怎么影响奖励|隐藏评分怎么设计,悬疑|游戏,评分维度和奖励映射必须公开一部分、隐藏一部分，让角色既能优化路线又保留探索空间。,评级结算不是彩带，它决定角色为什么要冒险做支线、为什么要赌更高风险的完成方式。,生存、效率、救援人数、规则解析度、污染控制和隐藏目标达成都可以成为评分项，但权重要提前埋痕迹。,评级结算与隐藏评分,至少明确基础评分项|隐藏加分项|评级档位|奖励差距|结算显示方式,用于拉开收益梯度、引导探索行为并支撑真结局或隐藏路线的收益逻辑,
SY-058,init|plan|write,设定,知识补充,污染累计|理智值|后遗症|恢复窗口|净化机制,污染值怎么设|理智掉了怎么恢复|后遗症和休整期怎么写,悬疑|奇幻,污染和恢复都要可追踪，既不能一碰就废，也不能睡一觉就清零。,污染累计体系的价值，在于它让每次生还都带着余伤，把副本压力延伸到副本外。,污染可分轻度症状、中度失控、重度异化，恢复则依赖时间、药物、仪式、陪护或特殊地点。,污染累计与恢复窗口,至少明确污染来源|分级症状|恢复手段|恢复上限|不可逆后果,用于维持长期压迫、制造休整期剧情和抬高关键能力的使用成本,
SY-059,init|plan|write,设定,知识补充,分段解锁|成长阶段|功能开启|章节权限|能力树,金手指怎么分阶段开|能力什么时候解锁|成长机制怎么不一步到位,悬疑|玄幻|游戏,把金手指能力拆成阶段解锁，每阶段都绑定代价、条件和对应剧情责任。,分段解锁能让金手指既有长期期待，也不至于在前期就把剧情空间压扁。,前期给保命，中期给破局，后期给改写规则的权限，能力越往后越强，代价和暴露也应同步变大。,分段解锁成长机制,至少明确阶段数量|每阶段功能|解锁条件|新增代价|与主线对应关系,用于规划长线升级、阶段高潮和能力成长与剧情责任同步上升的节奏,
SY-060,init|plan|write,设定,知识补充,冷却限制|使用次数|资源消耗|外挂边界|能力平衡,金手指太强怎么限制|系统能力怎么不万能|开挂怎么有边界,玄幻|都市|科幻|悬疑|游戏,为每个强能力配置冷却、次数、消耗或场景门槛，让主角必须判断什么时候值得用。,金手指越强，越需要可被剧情追踪的使用边界，否则很快会变成万能钥匙。,限制可以来自时间、体力、灵力、积分、情报、权限或环境条件，关键是读者能提前理解主角为什么不能随时开挂。,冷却与资源限制机制,至少明确冷却周期|使用次数|消耗资源|失败后果|规避条件,用于制造关键抉择、保留危机感并防止金手指压扁冲突,
SY-061,init|plan|write,设定,知识补充,身体代价|精神代价|社交代价|外部代价|力量双刃剑,能力代价有哪些|禁术代价怎么设计|开挂后果怎么分层,玄幻|悬疑|科幻|奇幻,把代价拆成身体、精神、关系和外部世界四层，避免只写一句虚弱了。,有代价的力量要让读者同时爽和担心，代价越具体，能力越可信。,身体代价负责当场痛感，精神代价负责长期侵蚀，社交代价负责秘密暴露，外部代价负责引来更高层敌人。,四层代价矩阵,至少明确当场代价|延迟代价|可恢复部分|不可逆风险|谁会察觉,用于设计禁术爆发、保命开挂、秘密暴露和后续追杀线,
SY-062,init|plan|write,设定,知识补充,首次亮相|能力首秀|黄金三章|卖点展示|首个爽点,金手指第一次出现怎么写|外挂首秀怎么抓人|黄金三章怎么展示能力,全部,金手指首秀只展示最能代表卖点的一项能力，不要一次把完整说明书塞给读者。,首次亮相的任务是让读者立刻明白这本书好看在哪里，而不是讲清所有规则。,首秀最好绑定现实危机，让能力一出场就完成保命、打脸、破局或情绪翻盘，并留下未解锁空间。,金手指首秀锚定,至少明确危机|能力展示点|读者可见收益|未解释悬念|后续升级口,用于黄金三章卖点落地和第一轮读者期待建立,
SY-063,init|plan|write,设定,知识补充,隐藏机制|长期后遗症|使用记录|被追踪|秘密暴露,金手指隐藏规则怎么埋|能力后遗症怎么写|外挂会不会被发现,悬疑|玄幻|科幻|都市,给金手指设置不完全公开的隐藏机制，让每次使用都可能留下可回收的痕迹。,隐藏机制能把一次开挂变成长期伏笔，避免能力只负责解决眼前问题。,使用记录、能量残留、梦境污染、系统日志、他人感知和命运偏移，都可以成为后续被调查的抓手。,隐藏机制与后遗症,至少明确隐藏规则|触发迹象|谁能察觉|回收窗口|失控风险,用于埋设长线追踪、身份危机和能力源头真相,
SY-064,init|plan|write,设定,知识补充,真假规则识别|规则怪谈天赋|规则提示|错误规则|规则鉴定,规则怪谈金手指怎么设计|怎么识别假规则|天赋提示怎么不过强,悬疑,规则类金手指只给判断依据或风险提示，不要直接把正确答案喂到嘴边。,规则怪谈天赋的爽点在于缩小错误范围，而不是代替主角推理。,提示可以表现为规则颜色、违和感标记、危险等级、代价预警或关键词高亮，但必须有误差和使用代价。,规则识别型天赋,至少明确可识别对象|误判概率|使用代价|冷却限制|不能识别的层级,用于支撑规则推理、生路判断和高压选择,
SY-065,init|plan|write,设定,知识补充,规则漏洞|权限利用|例外条款|规则边界|卡机制,规则漏洞怎么设计|利用规则怎么赢|副本机制怎么被主角卡住,悬疑|游戏,漏洞不是作者临时开门，必须来自已公开规则的边界、例外或对象差异。,规则漏洞型设定的快感来自主角比副本更懂规则，而不是规则突然失效。,可以从时间、身份、地点、动作定义、奖励条件和惩罚对象里找边界，让破解看起来险但有理。,规则漏洞利用机制,至少明确原规则|可利用边界|失败风险|触发步骤|副本反制方式,用于写智斗破局、真结局路线和机制反杀,
SY-066,init|plan|write,设定,知识补充,经营面板|库存台账|订单系统|制造系统|收益曲线,经营类金手指怎么写|种田系统怎么设计|做生意面板怎么不无聊,种田|年代|都市|现言,经营类金手指要把库存、成本、订单和口碑变成可推进剧情的压力，而不是单纯报数。,经营外挂的爽点在于把小资源滚成大局面，让读者看见积累的每一步。,面板可以展示库存、利润、客户需求、熟练度和风险预警，但每次扩张都要带来人情、竞争或供应链问题。,经营台账型金手指,至少明确资源入口|成本结构|收益周期|扩张瓶颈|外部竞争,用于种田经营、年代倒腾、都市创业和慢节奏积累爽点,
SY-067,init|plan|write,设定,知识补充,空间药园|随身空间|灵泉|储物保鲜|种植升级,空间金手指怎么写|药园灵泉怎么不俗|随身空间怎么有边界,种田|古言|年代|幻言,空间类金手指要限制产出速度、容量和可暴露程度，别让物资问题一夜消失。,空间药园的核心不是无限拿货，而是稳定积累、秘密经营和资源调度。,可用土地等级、作物周期、灵泉消耗、空间容量和外界遮掩限制产出，让每次收获都有经营感。,空间药园成长机制,至少明确容量|作物周期|升级条件|暴露风险|对外解释,用于支撑种田发家、医术制药、年代物资和女性向慢成长,
SY-068,init|plan|write,设定,知识补充,前世记忆|信息差|未来节点|重生优势|错失修正,重生记忆怎么平衡|前世信息怎么用|未来记忆不能全知怎么办,古言|现言|年代|都市,前世记忆只覆盖关键节点和人物认知，不要让主角像拿了全书攻略。,前世记忆的优势在于提前看见趋势，但真正好看的是主角如何修正旧遗憾和新变量。,记忆应有模糊、偏差和蝴蝶效应，越改变历史，原记忆越不可靠，新的选择才有重量。,前世记忆信息差,至少明确记忆范围|关键节点|偏差来源|变量后果|情感遗憾,用于重生复仇、年代改命、商战预判和关系修复,
SY-069,init|plan|write,设定,知识补充,读心术|好感面板|攻略系统|情绪值|关系进度,读心金手指怎么写|好感度系统怎么不尬|攻略系统怎么有张力,现言|快穿|古言|幻言,关系类面板只给片段化信号，让角色仍要理解人心和付出行动。,好感或读心类金手指最怕把感情写成刷数值，必须保留误读、隐瞒和真实选择。,数值可以提示趋势，读心可以听到碎片念头，但不能替代沟通，也不能绕过角色的尊严和边界。,关系感知型金手指,至少明确可见信息|盲区|误读风险|使用伦理|关系反噬,用于快穿攻略、甜宠拉扯、误会拆解和情感博弈,
SY-070,init|plan|write,设定,知识补充,年代物资|票证兑换|供应限制|黑市风险|生活改善,年代文金手指怎么写|物资系统怎么接地气|票证年代怎么平衡,年代|种田,年代类物资外挂要受票证、运输、熟人社会和政策风险约束，不能现代超市随便搬。,年代物资系统的爽点来自缺什么补什么，但可信度来自每一份物资都要能解释来源。,粮票、布票、工业券、供销社、黑市和单位分配都能成为限制条件，让改善生活也带着风险。,年代物资兑换边界,至少明确物资来源|兑换成本|时代限制|流通风险|对外说法,用于年代发家、家庭改善、邻里冲突和现实质感建立,
SY-071,init|plan|write,设定,知识补充,快穿任务|主线任务|支线任务|失败惩罚|世界结算,快穿系统怎么设|任务失败怎么办|世界结算怎么写,快穿,快穿任务系统要把目标、限制、惩罚和结算拆清，让每个世界都有独立压力。,快穿好看不只靠换世界，而靠每个世界的任务规则逼角色做不同选择。,主线决定能否离开，支线决定奖励或隐藏真相，失败惩罚决定紧迫感，结算决定下个世界的能力和债务。,快穿任务结算机制,至少明确主线目标|支线奖励|失败惩罚|结算指标|跨世界保留项,用于快穿单元节奏、任务压力和长期成长线,
SY-072,init|plan|write,设定,知识补充,剧情偏差值|世界崩坏度|任务预警|命运线修正,快穿偏差值怎么设|剧情崩了怎么办|世界线预警怎么写,快穿,偏差值系统只提示世界线失衡方向，不要直接替主角选择正确答案。,剧情偏差值的作用是制造紧迫和策略压力，让角色知道自己正在把世界推向不可控。,偏差可来自关键人物死亡、原剧情节点错位、目标情绪失控或主角身份暴露，数值越高越需要付出代价修正。,剧情偏差预警机制,至少明确偏差来源|预警阈值|修正手段|修正代价|崩坏后果,用于快穿任务翻车、隐藏线开启和世界线失控压力,
SY-073,init|plan|write,设定,知识补充,原主执念|愿望清单|灵魂残响|遗憾修复,原主执念怎么设|快穿愿望怎么写|替原主逆袭怎么有情绪,快穿,原主执念要具体到关系和遗憾，别只写复仇或变强这种空目标。,原主愿望系统的价值在于把任务和情感债绑在一起，让主角不是机械刷世界。,愿望可以是讨回清白、保护某人、拿回身份、断开伤害关系或完成没说出口的话，越具体越能形成单元情绪。,原主执念任务源,至少明确执念对象|未完成事件|情感债|完成标准|失败后残响,用于快穿单元核心、身份代入和结算时情绪回收,
SY-074,init|plan|write,设定,知识补充,幻言血脉|神族血统|妖族半血|血脉觉醒|血统代价,幻言血脉怎么写|神族血统怎么不俗|血脉觉醒代价,幻言|古言|仙侠,血脉设定要同时给荣耀、禁忌和代价，不能只当身份开挂。,幻言血脉的爽点在觉醒，张力在血统带来的追捕、排斥或命运束缚。,可用血脉纯度、觉醒阶段、族群禁忌、能力副作用和身份曝光风险来控制强度。,血脉觉醒与身份代价,至少明确血统来源|觉醒条件|能力边界|族群关系|曝光后果,用于幻言身份反转、禁忌恋、族群冲突和能力成长,
SY-075,init|plan|write,设定,知识补充,契约灵兽|本命灵兽|灵宠成长|双向契约|灵兽反噬,灵兽契约怎么写|灵宠怎么成长|契约反噬怎么设,幻言|仙侠|玄幻,契约灵兽要有独立习性和成长需求，不能只是主角的移动技能栏。,好看的灵兽设定来自双向绑定，主角获得助力，也要承担喂养、情绪和反噬风险。,契约可以共享感知、借用能力、共同进阶或伤害同步，但灵兽必须保留自己的意志和族群牵挂。,双向契约灵兽体系,至少明确契约方式|共享能力|成长资源|反噬风险|解除条件,用于幻言伙伴线、战斗配合、情感陪伴和世界生态展示,
SY-076,init|plan|write,设定,知识补充,功德福运|锦鲤体质|善缘回报|气运反噬|福报边界,锦鲤金手指怎么写|福运系统怎么不无脑|功德流怎么设,现言|古言|种田|年代,福运类金手指要让善缘有来源、回报有延迟、透支有反噬。,锦鲤体质的爽点不是随便捡钱，而是主角长期选择积累出的好运回响。,功德、口碑、人情、善举和因果都可以成为福运来源，但不能每次都精准救场。,功德福运回响机制,至少明确福运来源|触发概率|回报延迟|透支反噬|不可干预事件,用于慢节奏回报、种田积累、女性向治愈和人情关系网,
SY-077,init|plan|write,设定,知识补充,医术传承|药膳系统|诊疗空间|治愈金手指|病症限制,女频医术金手指怎么写|药膳系统怎么设|治愈能力怎么平衡,古言|现言|年代|种田|幻言,医术类金手指要把诊断、药材、治疗周期和风险写清，不要一针包治百病。,治愈外挂最能服务女性向慢成长，但必须保留病症复杂度和社会信任门槛。,药膳、针灸、空间药材、诊疗提示都可以做能力形式，真正的冲突来自药材难得、病人身份和误诊风险。,医术药膳治愈体系,至少明确适用病症|治疗周期|药材来源|失败风险|医患信任门槛,用于古言医女、年代生活改善、种田药园和情感救赎,
SY-078,init|plan|write,设定,知识补充,仙侠雷劫|天道惩罚|因果业力|渡劫规则|心魔劫,渡劫规则怎么设|雷劫怎么有逻辑|心魔劫怎么写,仙侠|幻言,渡劫不是固定挨雷，要让修为、因果和心境共同决定劫难形式。,仙侠劫数好看在于它既检验力量，也清算主角过去选择。,雷劫考验肉身，心魔劫考验执念，因果劫清算旧债，三者可以组合成不同阶段的成长门槛。,雷劫心魔因果劫机制,至少明确触发境界|劫难类型|因果加权|失败后果|可借外力边界,用于修仙突破、情感试炼、旧债回收和阶段高潮,
SY-079,init|plan|write,设定,知识补充,秘境规则|资源刷新|进入名额|秘境周期|机缘风险,秘境怎么设计|仙侠秘境怎么不套路|资源争夺怎么有规则,仙侠|玄幻|幻言,秘境要有进入条件、周期、资源逻辑和危险边界，别只当随机宝箱地图。,秘境的价值来自稀缺和规则，谁能进、能带走什么、会惊醒什么都要提前定。,名额争夺、时间限制、禁飞禁杀、资源成熟期和守护兽生态都能让秘境更像独立系统。,周期性秘境机缘体系,至少明确开放周期|进入门槛|资源分布|禁忌规则|退出条件,用于宗门竞争、队伍合作、地图换卷和机缘代价,
SY-080,init|plan|write,设定,知识补充,规则污染|认知侵蚀|文字篡改|记忆偏差|副本后遗症,规则污染怎么设|怪谈后遗症怎么写|认知被篡改怎么办,悬疑,规则污染要影响记忆、感知和文字记录，让恐怖从副本延伸到现实。,规则类后遗症的压迫感来自角色不确定自己还可不可信。,污染可以表现为记录变化、称呼错位、影子不同步、记忆缺页或对某条规则产生强迫服从。,认知污染后遗症,至少明确污染载体|症状分级|自检方式|净化条件|不可逆风险,用于规则怪谈长线压力、现实线失真和主角理性危机,
SY-081,init|plan|write,设定,知识补充,种田产业链|加工工坊|供应渠道|复利扩张|风险分散,种田经营怎么升级|工坊产业链怎么搭|从小买卖到产业怎么写,种田|年代|都市,种田金手指不要停在产出资源，要继续设计加工、渠道和风险分散。,种田经营的长期爽点来自产业链升级，读者看见小资源一层层变成稳定盘子。,从原料、加工、包装、运输、销售到口碑复购，每一层都能产生新冲突和新收益。,产业链复利经营机制,至少明确原料来源|加工瓶颈|销售渠道|竞争风险|扩张节点,用于种田发家、年代创业、都市小店和慢热经营爽点,
SY-082,init|plan|write,设定,知识补充,电竞系统|训练面板|操作评分|战术复盘|状态波动,电竞金手指怎么写|训练系统怎么设|操作评分怎么不万能,游戏,电竞类金手指只辅助训练和复盘，不要直接替选手操作。,电竞系统的价值在于发现短板、量化状态和提供训练方向，而不是上场代打。,评分可拆成反应、走位、视野、配合和心态，但比赛中仍要靠角色判断与团队执行。,电竞训练复盘系统,至少明确评分维度|训练成本|比赛禁用边界|状态波动|团队影响,用于训练成长、战术复盘、瓶颈突破和赛事压力,
SY-083,init|plan|write,设定,知识补充,历史知识差|未来记忆|制度限制|技术代差|蝴蝶效应,历史穿越金手指怎么平衡|未来知识怎么不无敌|技术代差怎么写,历史|年代,历史知识差要受材料、制度、人脉和蝴蝶效应限制，不能知道答案就立刻改天下。,穿越者的知识优势只有落到当时条件里才可信。,知道配方不等于有原料，知道趋势不等于能调动资源，知道历史不等于能控制人心。,历史知识差边界,至少明确知识范围|时代材料|制度阻力|蝴蝶效应|被怀疑风险,用于历史改命、年代经营、技术升级和权谋预判,
SY-084,init|plan|write,设定,知识补充,AI辅助|计算外挂|预测模型|权限协议|数据盲区,AI辅助金手指怎么写|预测系统怎么平衡|科幻外挂怎么有限制,科幻|都市,AI辅助要有数据来源、权限协议和误差范围，不能让预测等于真相。,预测型外挂的张力来自它能算很多事，却算不准人心和未知变量。,数据缺失、权限锁、伦理协议、模型偏差和敌方干扰都可以构成限制。,AI预测辅助机制,至少明确数据来源|预测范围|误差类型|权限限制|被攻击风险,用于科幻破局、都市商战、调查推理和人机关系,
SY-085,init|plan|write,设定,知识补充,仙侠本命法宝|器灵成长|祭炼代价|法宝反噬|人器共修,本命法宝怎么写|器灵怎么成长|法宝反噬怎么设,仙侠|玄幻|幻言,本命法宝要和主角道途绑定，越强越需要祭炼、材料和心性代价。,本命法宝不是装备栏，而是角色修行选择的外化。,法宝可随主人境界成长，也可能因材料、器灵意志或旧主因果带来反噬。,本命法宝共修机制,至少明确祭炼条件|成长材料|器灵意志|反噬风险|损毁后果,用于修仙成长、战斗风格、器灵关系和旧因果回收,
SY-086,init|plan|write,设定,知识补充,同人剧情先知|原作记忆|关键节点|改写代价|剧情偏移,同人知道剧情怎么平衡|原作记忆怎么不无敌|剧情先知怎么写,衍生,同人剧情先知要随改写逐步失效，不能让主角永远拿标准答案。,原作记忆的爽点在前期预判，长期张力在记忆越来越不可靠。,主角越介入，人物选择越偏移，节点越变形，原作记忆就越需要被重新校验。,剧情先知失效机制,至少明确记忆范围|可预测节点|偏移触发|失效表现|改写代价,用于同人改命、if线分歧和原创角色介入后果,
SY-087,init|plan|write,设定,知识补充,末世基地系统|避难所建设|资源配给|防御升级|人口管理,末世基地怎么设|避难所系统怎么写|末世经营金手指,科幻|都市,末世基地金手指要同时管资源、防御、人口和秩序，不能只会建墙升级。,基地经营的压力来自人活下来以后怎么分配资源和权力。,食物、水源、能源、防御、医疗、岗位和惩罚制度都应进入系统边界。,末世基地经营机制,至少明确资源产出|人口上限|防御等级|内部秩序|外部威胁,用于末世经营、群像冲突、资源分配和阶段扩张,
SY-088,init|plan|write,设定,知识补充,书灵系统|剧情书页|命运批注|文本改写|反噬,书穿金手指怎么写|剧情书页怎么设|命运批注怎么平衡,快穿|古言|幻言,书灵或剧情书页只能显示片段与批注，不要让主角直接改写全文。,书页型金手指适合制造预知和误导并存的张力。,残页、涂改、旁批、缺页和字迹变化都可以提示未来，但每次试图改写都应带来偏差或反噬。,剧情书页批注机制,至少明确可见页数|更新条件|缺页原因|改写代价|误导方式,用于穿书快穿、命运反抗、反转伏笔和剧情偏差,
SY-089,init|plan|write,设定,知识补充,快穿系统商城|任务积分|道具限购|盲盒陷阱|长期目标,快穿商城怎么设|任务积分怎么平衡|系统道具怎么不万能,快穿,快穿商城要有积分来源、限购规则和价格锚点，不能让主角想买什么就买什么。,商城金手指的张力来自想买但买不起、买了也未必立刻好用。,低级道具可解决小麻烦，高级道具要贵到形成长期目标，盲盒和折扣可制造误判。,快穿积分商城机制,至少明确积分来源|道具分级|限购冷却|价格锚点|误购风险,用于任务奖励、道具取舍、单元破局和长期动力,商城万能|价格随剧情变|积分无成本
SY-090,init|plan|write,设定,知识补充,快穿评级系统|SSS奖励|异常审查|惩罚扣分|任务结算,快穿评级怎么设|SSS奖励怎么写|任务结算怎么留悬念,快穿,评级系统要同时承担奖励、惩罚和长线监控功能，不能只当结尾播报。,好的评级会反过来改变系统对主角的态度。,评分可按任务完成、原主满意、世界偏差、隐藏目标和违规风险拆分。,任务评级审查机制,至少明确评分维度|奖励档位|扣分规则|异常审查|评级后果,用于单元收束、系统关系升级、长线主线和任务翻车,评级只发奖励|评分标准模糊|每次结算无变化
SY-091,init|plan|write,设定,知识补充,快穿身份加载|原主记忆|身体限制|技能封印|角色适配,快穿身份限制怎么设|原主记忆怎么平衡|换身体能力怎么写,快穿,快穿身份加载要给主角新身份的便利和限制，不能让所有能力无损继承。,每个世界的身体、身份和社会关系都应该改变主角打法。,原主技能、身体病弱、身份权限、记忆缺口和世界禁用能力都能构成边界。,身份加载限制机制,至少明确记忆完整度|身体状态|可继承能力|禁用能力|身份风险,用于单元差异、任务难度、角色适配和反套路破局,主角能力全带入|原主身份无影响|世界差异只换名字
SY-092,init|plan|write,设定,知识补充,年代空间|物资保鲜|票证兑换|来源解释|暴露风险,年代空间怎么设|年代物资金手指怎么平衡|票证空间怎么写,年代|种田,年代空间要管物资来源、时代限制和暴露风险，不能无限拿现代商品砸穿年代感。,年代物资外挂最怕破坏稀缺逻辑。,空间可以保鲜、种植、兑换或存取，但每次流入现实都要解释票证、来路和邻里怀疑。,年代物资空间机制,至少明确容量|产出周期|票证限制|来源伪装|暴露后果,用于生活改善、经营起步、救急物资和熟人社会压力,无限物资|现代商品横行|没有人怀疑来源
SY-093,init|plan|write,设定,知识补充,年代技能面板|手艺熟练度|工种升级|单位考核|师徒传承,年代技能系统怎么设|工厂技能面板怎么写|手艺升级怎么平衡,年代,年代技能金手指要落到具体工种和考核场景，不能像游戏一样凭空涨属性。,技能提升必须通过练习、师傅评价和单位任务被看见。,钳工、厨艺、缝纫、医护、维修等技能可有熟练度，但晋升仍受名额和人情影响。,年代手艺熟练机制,至少明确工种范围|练习成本|考核方式|晋升限制|他人评价,用于工厂成长、家庭改善、单位评优和生活流爽点,技能一加就无敌|单位制度失效|熟练度脱离现实
SY-094,init|plan|write,设定,知识补充,现言事业系统|情绪值|人脉资源|机会刷新|自我成长,现言事业金手指怎么写|女性成长系统怎么设|人脉机会怎么平衡,现言,现言事业系统要服务选择和成长，不要替主角自动拿资源。,女性向事业外挂最好让主角更清醒，而不是让世界无脑偏爱她。,机会提示、人脉记录、情绪自检和技能训练可以辅助判断，但机会仍需主角争取。,现言成长辅助机制,至少明确提示范围|机会成本|人脉边界|情绪误差|失败后果,用于职场成长、创业线、情感独立和自我修复,系统替主角社交|机会白送|成长只靠外挂
SY-095,init|plan|write,设定,知识补充,现言读心限制|情绪感知|边界误判|亲密关系|隐私代价,现言读心怎么平衡|情绪感知金手指怎么写|恋爱读心怎么不万能,现言|幻言,读心或情绪感知要有范围、误差和伦理代价，不能让亲密关系失去沟通。,情绪外挂的看点在知道一点但不能确定全部。,它可以感知波动、恶意或谎言概率，却不能替代信任建立和真实对话。,情绪感知限制机制,至少明确感知范围|误判概率|使用代价|隐私边界|失控风险,用于恋爱拉扯、职场识人、误会反转和自我成长,读心全知|沟通被取消|隐私代价缺席
