编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,场景类型,模式名称,说明,示例片段,毒点
SP-040,write|plan,奖励,知识补充,开箱场景|抽奖揭晓|奖励公布|隐藏奖励,开箱怎么写更爽|抽到稀有奖励怎么排|奖励揭晓场面怎么做,悬疑|游戏|玄幻,奖励揭晓要有层层递亮，不要第一秒就把最好东西拍脸上；把预期、落差和补刀都排出来。,层层递亮式奖励揭晓的爽点，在于读者和角色都以为已经到头了，结果箱底还有更狠的一层。,先出常规奖励稳预期，再给稀有异常，再用隐藏词条、特殊共鸣或额外权限完成最后一击，会更有开箱快感。,奖励场景,层层递亮式奖励揭晓,适合通关结算、抽奖开箱、战利品分配、系统发放奖励等节点。,众人已经在羡慕那件紫装时，最底下一张发黑的卡片却自己翻了个面，像是在提醒所有人，这箱子还没真正开完。,奖励公布像系统日志复制粘贴，没有节拍、没有期待、没有惊喜层次。
SP-041,write|plan,演武,知识补充,演武场|公开授课|示范对打|教学破格,演武场场景怎么写|公开授课怎么带爽点|示范时反打怎么排,玄幻|历史|现言|奇幻,先把教学秩序和预期立住，再让真正的惊艳发生在示范偏差、临场拆招或学生超纲反应里。,演武示范式场景之所以好看，是因为它把本来平稳的教学秩序突然改写成实力与认知的公开翻面。,老师讲一招，学生做错一步，主角补一手，旁观者和权威一起被打脸，这种层层变化特别适合演武场。,演武场景,演武示范式破格惊场,适合学院授课、宗门传法、公开演武、师徒试手等场面。,长老本来只想示范起手式，话还没讲完，台下那少年已经顺着他留下的半寸空门把整套后招走完了。,授课场面只有老师讲解设定，没有动作、错误、纠偏和现场反应。
SP-042,write|plan,节庆,知识补充,节庆场景|烟火下刺杀|热闹转惊变|庆典事故,热闹场景怎么突然翻成危机|节庆刺杀怎么写|烟火下出事怎么排,历史|古言|都市|奇幻,先把热闹写满，再用一个不对劲的小失拍把场面撕开，让危险从人群、灯火和音乐里钻出来。,节庆热闹下潜伏惊变的魅力，在于越喧哗的场合，危险越像从繁华里突然长出来。,鼓点停拍、灯阵错位、烟火升空、拥挤视线和笑声掩护，都特别适合拿来包裹刺杀、失踪或规则触发。,节庆场景,节庆热闹下潜伏惊变,适合花灯会、庆功宴、学院祭、婚宴和大型城市庆典等群体场面。,烟火炸开那一瞬，全城都抬头看天，只有她看见台阶下那柄本该收回鞘里的短刀突然换了个方向。,热闹和危机完全断层，前半章逛会场，后半章硬切刺杀现场。
SP-043,write|plan,回望,知识补充,故地重返|旧地回望|物是人非|场景对照,故地重游怎么写更有劲|旧地重返怎么体现变化|物是人非场景怎么排,全部,别只感慨物是人非，要让同一地点的新旧细节对照直接照出人物和局势到底变了什么。,故地重返式对照回望真正动人的地方，不是怀旧本身，而是角色终于看清自己和世界都不再原样。,同一张桌子、同一条街、同一间教室，只要新旧用途、站位和情绪发生变化，回望感就会自然出来。,回望场景,故地重返式对照回望,适合主角成长后归乡、旧案重返现场、感情破裂后再回旧地等场面。,那家面馆还在，只是当年坐在窗边替他挑葱的人不在了，而这一次，他终于也没再把碗里的香菜拨出去。,故地重返只剩空泛抒情，没有具体新旧对照和人物变化支撑。
SP-044,write|plan,推演,知识补充,白板推演|多人破局|开会破案|推演会,多人推理场怎么写|开会破局怎么不干|白板推演场景怎么排,悬疑|科幻,让每个人只贡献自己那一块视角和错误，真相要靠观点碰撞逐步成形，不要一个人独角戏带全场。,白板推演式多人破局场好看，在于错误假设、局部真相和关键反证会在同一张桌上互相打脸。,地图、白板、规则纸、时间线和录像回放都能成为推演载体，越能让人看到思路如何变，场面就越不枯燥。,推演场景,白板推演式多人破局,适合副本复盘、团队破案、战前推演、规则校验等需要群体智斗的场面。,他把第三条规则圈出来时，最先摇头的反而是一直最沉默的人，因为只有她注意到那张值班表少了一个根本不该缺席的名字。,所谓多人推演其实只有主角一个人全程讲解，其他人只会点头震惊。
SP-045,write|plan,交易,知识补充,拍卖会|竞价|抬价|暗斗|压轴拍品,拍卖会场景怎么写|竞价暗战怎么排|拍卖捡漏怎么做,玄幻|都市|奇幻|悬疑,竞价戏要同时写价格、身份压迫和信息差，别变成机械喊数字。,拍卖会的爽点不只是价格飞升，而是谁在借出价试探底牌、抬身份、放烟雾。,可以用压轴拍品、托价人、沉默竞价、包厢视角和临门加价制造攻防，让场面既有钱味也有火药味。,交易场景,竞价试探式拍卖暗斗,适合拍卖行、黑市交易会、宗门资源拍卖、珍品竞购等场面。,第三次铃声还没落下，最上层包厢里忽然多出一道懒散声音，像只是随手抬价，却把台下几个真正懂行的人都逼得坐直了。,全场只有主持人报数，没有身份试探和气氛变化。
SP-046,write|plan,对峙,知识补充,雨夜对峙|屋檐下|旧情冲突|夜雨场景,雨夜对峙怎么写|屋檐下对话怎么有张力|夜雨旧情戏怎么排,现言|古言|悬疑|都市,让雨声和逼仄空间一起施压，把没说出口的话压在停顿和动作里，别让角色站着念台词。,雨夜屋檐下对峙的张力来自环境逼近感和旧账压喉感，两个人离得近，说得反而更少。,雨线、积水、借伞、退后半步、被迫共站一处，都能把关系冲突和身体距离绑在一起。,对峙场景,雨幕逼仄式屋檐对峙,适合旧情对撞、审问试探、敌友未明的短兵相接场。,雨太大了，她退进屋檐那半寸干地，他却偏偏站在雨边，说出口的每个字都像顺着水线往下砸。,只是告诉读者在下雨，两个人照常平铺直叙地把事情说明白。
SP-047,write|plan,翻盘,知识补充,发布会|公开回应|舆论反杀|记者会翻盘,发布会怎么写更爽|公开翻盘怎么排|记者会反杀怎么做,都市|现言,公开翻盘要先让舆论和现场预期压到最低，再用证据和话术顺序反杀，别一上来就开大。,发布会翻盘最爽的不是甩证据本身，而是让所有人先以为他来道歉，结果一条条把局面掀回去。,话筒、直播弹幕、品牌方脸色、记者追问和大屏材料都能形成层层加压，再配合证据投放节拍完成公开改判。,公开场景,舆论压顶式发布会翻盘,适合公关回应、校园公开澄清、商业纠纷反击、娱乐圈洗冤等场合。,他先鞠了一躬，台下闪光灯立刻疯了一样追上来，直到大屏弹出那张签名时间表，最先安静下来的反而是坐在前排的投资人。,发布会刚开始主角就把所有证据甩完，现场没有误判、压力和逆转节拍。
SP-048,write|plan,情感,知识补充,假扮情侣|假结婚|假扮关系|逢场作戏,假扮情侣怎么写|假关系场景怎么有火花|装情侣桥段怎么排,现言|都市|古言|衍生,假扮关系戏要同时保留外部任务和内部失控，让每个配合动作都能多出一层真情误差。,假扮关系场的好看，在于角色明知在演，却总有某个细节先一步像真的。,牵手、改口、替挡酒、顺势搭肩、对外一致口径，都能把任务需求和真实心防撞在一起。,情感场景,任务外壳式假扮关系,适合应付长辈、混入场合、契约关系、互相利用转真情等桥段。,她本来只是把手递过去让他装一下，结果他替她整理发尾时动作太自然，连旁边的长辈都先笑了。,只说他们在假扮情侣，却没有任何必须配合的现场细节和情绪误差。
SP-049,write|plan,诡异,知识补充,深夜值班|值夜班|诡静场景|空楼异动,深夜值班怎么写吓人|夜班诡异感怎么做|空楼静场怎么排,悬疑|都市,先写正常值班流程，再用一个极小失拍把秩序掀歪，让诡异从过分安静里长出来。,深夜值班场的恐惧不靠突脸，而靠日常流程里出现一处不该出现的静和错。,打卡、巡楼、监控、值班表、广播、保温杯和楼层灯都很适合拿来做偏差点，越日常越瘆人。,诡异场景,正常流程中断式诡静值班,适合医院、学校、写字楼、宿舍楼、车站值夜等半公共空间。,整栋楼的空调声忽然一起停了，保安室里只剩秒针在走，可监控画面上的走廊灯还在一盏盏往前亮。,靠突然跳脸和血字堆惊吓，没有任何值班流程和环境秩序作对比。
SP-050,write|plan,离别,知识补充,车站离别|码头送别|站台告别|错身别离,离别场景怎么写|车站送别怎么不俗|码头分别怎么排,全部,离别戏别急着煽情，把时间限制、行动阻碍和没说完的话一起摆上台面。,站台和码头离别戏最打人，不在于哭喊，而在于时间已经走了，人还没来得及把该说的话说完。,鸣笛、检票、缆绳、广播、雨雾和拥挤人流都能成为倒计时，让角色只能在碎片动作里完成告别。,离别场景,倒计时压迫式站台离别,适合远行、诀别、卧底出发、战前分别和错过重逢。,广播第三次催检时，他还在替她把围巾往上拢，像只要动作够慢，这趟车就不会真的开。,两人站在原地长篇大论告别，场景里的时间压力完全失效。
SP-051,write|plan,守夜,知识补充,病房守夜|陪床|夜谈|没说出口,病房守夜怎么写|陪床夜谈怎么有情绪|病床边场景怎么排,现言|都市|悬疑,守夜戏要靠压低的音量、未醒的人和克制动作承载情绪，不要把病房写成大型表白现场。,病房守夜场最有力的地方，是角色必须轻声、慢动作、忍着情绪，于是每个细节都更重。,削苹果、掖被角、看监护仪、替换热水、半句停住的话，这些静动作比痛哭更容易把关系写深。,守夜场景,低声克制式病房守夜,适合旧怨缓和、亲情回温、秘密松口、危机后的关系转折。,他把椅子往后挪了半寸，怕磨出声来吵醒她，结果那句早该说的对不起也跟着卡在喉咙里半个夜里。,病房里几个人高声争吵或长篇解释，完全无视病房环境和守夜节奏。
SP-052,write|plan,舆论,知识补充,记者围堵|追问|长枪短炮|围访,记者围堵怎么写|媒体追问场怎么排|被堵门怎么应对,都市|现言|悬疑,围堵场要写视线压力、问题节拍和退路受限，让角色的每一句回应都像踩线过桥。,记者围堵场真正的压迫感，来自问题连发、镜头贴脸和角色没有完整思考时间。,电梯口、停车场、医院门口、校门外都适合围堵；关键词是堵、挤、截、追，让空间成为心理压力的一部分。,舆论场景,退路封死式记者围堵,适合丑闻曝光、案件追问、身份揭晓后围访、公关失控等场合。,话筒几乎碰到她下巴的时候，她才意识到最危险的不是谁在问，而是谁一直站在镜头外等她说错第一个字。,记者只是背景板式地问两个问题，围堵没有空间压迫和连续追问。
SP-053,write|plan,结构,知识补充,场景卡|目的冲突转折结果|场景结构|场景目标,场景纲怎么写|场景卡怎么拆|一场戏怎么不散,全部,每场戏先写清目的、冲突、转折和结果，再补环境动作对话情绪。,场景卡四要素能防止章节松散，让每个场景都承担推进任务。,目的决定为什么写这场，冲突决定读者为什么看下去，转折决定场景中段变化，结果决定下一场如何接。,结构场景,目的冲突转折结果四格场景卡,适合章纲拆分、场景纲、卡文急救和写前任务书。,她进门不是为了闲聊，而是拿回账本；饭桌上的沉默是冲突，母亲忽然摔筷是转折，分家被迫提前就是结果。,只有地点和人物，没有场景目的和结果，写完不知道推动了什么。
SP-054,write|plan,情绪,知识补充,激烈吵架|快速升温|失控爆发|余波,吵架场景怎么写|高压争吵怎么排|冲突对话怎么不水,现言|古言|都市,吵架先从可忍的小刺开始升温，再让真正伤口被说破，最后留下关系余波。,激烈吵架不是比谁嗓门大，而是让每一句话都离核心伤口更近一步。,前段用克制和试探，中段用质问和反击，爆点说出最不能说的话，尾段用沉默或离开证明关系已变。,情绪场景,快速升温式激烈吵架,适合情侣决裂、亲子冲突、搭档翻脸和旧账清算。,她一直没有提高声音，直到他说出那句你和她很像，手里的杯子才终于磕在桌沿上。,角色一上来就互骂到最高强度，中间没有升级层次，结尾也没有余波。
SP-055,write|plan,情绪,知识补充,忍耐爆发|压抑积累|临界点|情绪宣泄,忍了很久后爆发怎么写|压抑场景怎么爆|委屈爆发怎么排,全部,忍耐爆发要先让角色有不能反击的理由，爆发时再改写局面或关系。,忍耐型场景的力量来自读者知道他忍得住，但这一次真的不能再忍。,可以用重复让步、被误解、替别人兜底和底线被踩来蓄压，临界点必须具体到一句话或一个动作。,情绪场景,临界点式忍耐爆发,适合废柴逆袭、家庭压迫、职场打脸和情感决裂。,他前面三次都低头捡起文件，第四次对方踩住那张诊断单时，他终于没有再弯腰。,前面没有忍耐积累，角色突然爆发只像脾气差。
SP-056,write|plan,情感,知识补充,突然告白|心意失守|情感表达|回应震荡,告白场景怎么写|突然表白怎么不尬|心动爆发怎么排,现言|古言|幻言,告白戏要有情绪被逼到出口的理由，不要把表白写成独立宣言。,突然告白好看，是因为角色原本还能忍，但现场某个细节让他失守。,前面用陪伴、误会或危险拉高情绪，告白瞬间要短而准，回应不必立刻圆满，但必须改变关系空气。,情感场景,情绪失守式突然告白,适合甜宠、久别重逢、危机救援和暧昧破局。,她问他为什么回来，他看着她手腕上的旧红绳，半晌只说了一句因为我怕你真的不等了。,告白前没有任何情绪推进，角色突然长篇自述爱意。
SP-057,write|plan,离别,知识补充,决裂|诀别|关系断开|没说出口,决裂场景怎么写|诀别怎么有余味|分手场景怎么写,现言|古言|幻言|年代,决裂戏要把试图挽回和无法弥合都写出来，别只靠一句再也不见。,真正的决裂不是不爱了，而是角色终于承认继续留下只会更坏。,可用归还物件、撤回称呼、关门、错过最后一句话来表现关系断点，让余韵比台词更痛。,离别场景,物件归还式关系决裂,适合分手、师徒断义、家族出走和阵营分裂。,她把钥匙放回玄关的碗里，金属撞出一声轻响，像替她说完了那句没能说出口的再见。,两人互相喊绝情话后立刻各走各路，没有具体断点和余韵。
SP-058,write|plan,日常,知识补充,做饭群像|生活活动|闲聊伏笔|关系微动,日常群像怎么写|做饭场景怎么埋伏笔|闲聊怎么有用,全部,给日常场景安排正在做的事，让人物在动作里说话、露性格、埋信息。,好的日常不是停下来聊天，而是边做事边推进关系和伏笔。,做饭、分赃、收拾、打牌、赶路和修东西都能承载轻松互动，关键是每句闲话至少服务人物、关系或伏笔之一。,日常场景,活动承载式群像日常,适合队伍休整、家庭生活、种田经营和卷中降压。,锅铲在他手里翻得很稳，嘴上却嫌她盐放多了，只有旁边的小孩注意到他把最嫩的那块肉夹进了她碗里。,所有人围坐干聊，话题不推进人物也不埋伏笔。
SP-059,write|plan,家庭,知识补充,家庭饭桌|长辈施压|话里有话|座次关系,饭桌戏怎么写|家庭修罗场怎么排|亲戚饭局怎么有压迫,年代|种田|现言|古言,饭桌戏用座次、夹菜、停筷和称呼变化写权力，不要让所有压力都靠台词说。,家庭饭桌场景最适合把亲情、人情和利益压在同一张桌上。,谁坐主位、谁不上桌、谁被夹菜、谁负责收拾，都能暗示家庭排序和隐形矛盾。,家庭场景,座次压迫式饭桌冲突,适合分家前夜、婚恋审问、亲戚逼迫和旧账翻出。,二叔把那盘鱼往长子面前推了推，没人说话，可她已经知道今天这顿饭不是请她回来吃的。,饭桌只是背景，人物站着输出争吵，没有生活礼法和关系层次。
SP-060,write|plan,年代,知识补充,年代生活|票证用品|方言俚语|时代细节,年代感怎么写|四合院生活怎么写|年代文细节怎么不堆,年代,年代感细节要服务人物和冲突，用品、票证、单位和邻里关系都要嵌进动作里。,年代文的真实感来自生活约束，而不是堆一串老物件名称。,粮票、布票、搪瓷缸、供销社、单位分房、邻里互看和胡同传话都应影响角色选择。,年代场景,生活约束式年代细节,适合四合院、单位、供销社、家庭饭桌和邻里冲突。,她把布票压在搪瓷缸底下，不是怕丢，是怕隔壁婶子又拿这事给她说亲。,只罗列老物件，没有让年代制度影响人物行动。
SP-061,write|plan,规则,知识补充,规则公告|守则发放|规则入场|异常条款,规则怪谈开场怎么写|规则公告怎么呈现|守则场景怎么吓人,悬疑,规则入场要像真实公告一样可执行，再用一两处异常让读者开始不安。,规则公告场景的重点不是恐怖辞藻，而是让人知道照做才能活。,公告板、说明书、宿舍守则、广播和短信都可作为规则载体，异常点要清楚到能支撑后续推理。,规则场景,可执行守则入场,适合副本开场、学校怪谈、医院夜班和封闭空间。,白纸上第一条写着熄灯后请保持安静，第二条却说若听见自己在走廊里说话，请立刻回答。,规则写得像氛围诗，读者不知道能不能照做，也无法参与推理。
SP-062,write|plan,推理,知识补充,白板推理|线索复盘|假设验证|证据拼图,推理复盘场怎么写|线索怎么串起来|白板推理怎么不枯燥,悬疑,推理复盘要让线索、假设和反证一层层缩小范围，别写成主角单方面讲答案。,白板推理场的可读性来自读者跟着角色一起排除错误路线。,把线索分组、列出可能假设、逐条反证，再保留一处无法解释的细节，能让复盘既清楚又有悬念。,推理场景,假设反证式线索复盘,适合规则校验、案件复盘、副本破局和真相揭露前夜。,他在白板上划掉第三个名字时，屋里没人说话，因为剩下的那个答案比错误更可怕。,推理场变成大段解释，前面线索没有参与，读者只能被动听讲。
SP-063,write|plan,快穿,知识补充,任务结算|系统空间|世界复盘|奖励惩罚,快穿结算场景怎么写|任务结束怎么转场|系统空间怎么不流水账,快穿,快穿结算场要同时复盘情感余波、任务得失和下个世界钩子，不要只报分数。,任务结算是单元结束后的情绪闸门，也是下一单元的期待入口。,先落人物情感，再看任务指标，最后给奖励、惩罚或异常提示，让世界切换不显得机械。,快穿场景,情绪余波式任务结算,适合单元完结、隐藏线开启、失败惩罚和跨世界成长。,屏幕上的评分跳到A时，她却先看见了那行小字：目标人物在你离开后仍保留记忆。,只写系统评分和奖励清单，没有上一世界的情绪余波。
SP-064,write|plan,经营,知识补充,盘账扩张|账本场景|经营复盘|供应链压力,经营盘账怎么写|种田扩张怎么排|账本场景怎么有戏,种田|年代|都市,盘账场景要把收入、成本、缺口和下一步风险写出来，让经营推进有抓手。,经营盘账的爽点不是数字本身，而是角色看见局面真的被自己推大了。,账本、欠条、库存、损耗、订单和人手缺口都能成为下一阶段剧情的入口。,经营场景,账本复盘式经营扩张,适合小铺扩张、种田囤货、年代倒腾和商战前期。,她把最后一笔煤油钱划掉，才发现这月赚的不多，却已经够把隔壁空屋租下来当仓房。,账本只报赚了很多钱，没有成本、缺口和下一步压力。
SP-065,write|plan,短篇,知识补充,付费卡点|短篇断点|答案前一秒|强钩子,付费卡点场景怎么写|短篇在哪里断|卡点怎么有转化,全部,卡点场景要在情绪最紧和答案未落之间停住，下一段必须立刻有兑现。,付费卡点不是随便断章，而是把读者推到不看答案就难受的位置。,场景内先抛出证据、名字或异常动作，再让角色意识到后果，最后停在即将揭晓或必须行动前。,短篇场景,答案前一秒付费卡点,适合知乎短篇、强反转短篇、世情短篇和悬疑短篇。,门外的人喊了我妈的小名，可我妈已经死了十年。我刚要开门，手机里跳出一条短信：别应声。,卡在人物走路或喝水这种无关动作上，付费后也没有马上兑现。
SP-066,write|plan,视角,知识补充,第一人称|内心独白|强代入|我视角,第一人称怎么写|知乎短篇我视角怎么有代入|内心独白怎么自然,全部,第一人称要用当下感官和有限认知推进，不要让主角像旁白机器解释全局。,强代入第一人称的关键是我此刻知道什么、怕什么、误判了什么。,内心独白要短而贴近反应，感官细节服务当下处境，信息不能超出角色视野。,视角场景,有限认知第一人称,适合短篇开头、悬疑误导、女频情绪戏和强冲突场景。,我先闻到一股消毒水味，才看见桌上那张死亡证明，名字那栏写的是我自己。,第一人称明明不在现场，却把别人心理和后台阴谋全解释清楚。
SP-067,write|plan,战斗,知识补充,玄幻战斗|力量体系|策略变化|视觉冲击,玄幻战斗场怎么写|战斗怎么体现境界|打斗怎么有层次,玄幻|仙侠|幻言,玄幻战斗要把境界差、招式效果、环境变化和角色判断写在同一条节奏线上。,玄幻战斗不是招式名堆叠，而是力量规则在场景里可视化。,开场立实力差，中段写试探和应变，高潮写破局或突破，收尾写代价和后续影响。,战斗场景,力量体系可视化战斗,适合一对一、越级反杀、宗门大比和生死追杀。,剑气撞上护体灵光时没有炸开，而是像被一层无形潮水压弯，众人才意识到两人差的不是一招半式。,连续报招式名和光效，没有境界差、策略和伤害结果。
SP-068,write|plan,团战,知识补充,多人战斗|站位分工|合击|团队配合,团战场景怎么写|多人打架怎么不乱|队伍配合怎么排,玄幻|仙侠|游戏|奇幻,团战先写空间和分工，再按局势变化切镜头，避免所有角色抢同一个高光。,多人战斗清楚的前提是读者知道谁在哪、负责什么、局势怎么变。,用前排、远程、控场、治疗、主攻和诱敌划分节奏，切镜头时只切关键动作。,团战场景,站位分工式团战,适合队伍副本、宗门混战、电竞团战和战场小队。,盾修往前踏了半步，刚好把法修漏出的空门挡住，下一息符火才从他肩侧擦出去。,所有人同时冲上去放大招，读者看不清空间也不知道谁有用。
SP-069,write|plan,规则,知识补充,矛盾规则|真假规则|规则对照|条件差异,矛盾规则场景怎么写|真假规则怎么呈现|规则冲突怎么让读者参与,悬疑,矛盾规则场景要把两条规则放进不同情境中验证，让读者跟着找适用边界。,规则冲突不是错误，而是引导读者发现身份、时间或地点条件。,可以用两张不同守则、广播和纸条冲突、NPC行为反证来让角色逐步怀疑。,规则场景,条件验证式矛盾规则,适合规则怪谈、封闭副本、医院学校和异空间。,宿舍门上的守则说听到敲门别开，楼道广播却一遍遍喊请立刻开门配合查寝。,两条规则冲突后主角直接说一条是假的，没有任何验证过程。
SP-070,write|plan,恐怖,知识补充,压抑恐怖|寂静声响|空间异常|感官递进,规则怪谈氛围怎么写|恐怖感怎么递进|不突脸怎么吓人,悬疑,恐怖氛围先写正常秩序，再让视觉、听觉或触觉出现一个递进异常。,规则怪谈的恐怖来自日常被一点点拧歪，而不是频繁跳脸。,寂静、灯光延迟、脚步错位、气味不对和空间重复都适合做低成本高压迫的异常。,恐怖场景,日常秩序渐歪恐怖,适合夜班、宿舍、医院、学校、车站和副本走廊。,电梯每层都停，可门外都是同一段走廊，连墙上那张撕了一角的海报都一模一样。,一上来就血手拍窗，缺少正常秩序和逐步异常。
SP-071,write|plan,仙侠,知识补充,渡劫场景|雷劫|心魔|突破异象,渡劫场景怎么写|雷劫怎么写有压迫|心魔劫怎么排,仙侠|幻言,渡劫场景要同时写外部天威和内部心魔，让突破不只靠硬扛。,好的渡劫戏是世界在压人，旧伤也在压人，角色必须同时过两关。,雷云、灵压、护法、旧人幻象、因果回声和境界不稳都能形成层次。,仙侠场景,外雷内魔双线渡劫,适合大境界突破、情感试炼、宗门守护和阶段高潮。,第一道雷落下时她还站得住，直到心魔幻出师父那句你不配，她的剑尖才真正抖了一下。,只写雷劈了九下然后成功，缺少心境和代价。
SP-072,write|plan,快穿,知识补充,世界入场|身份接收|原主记忆|任务提示,快穿开局怎么进世界|身份接收场景怎么写|原主记忆怎么呈现,快穿,快穿入场要在最短时间交代身份、危机、任务和原主情绪，不要大段播设定。,单元开场的任务是让读者立刻知道这个世界的问题压在哪里。,可以用醒来现场、身体伤痕、手机信息、旁人称呼和系统短提示拼出身份与危机。,快穿场景,危机现场式世界入场,适合每个单元第一章、任务突变和身份误判开局。,她刚睁眼，耳边就有人冷笑着喊夫人，手里的离婚协议还没干，系统提示目标人物好感度负九十。,系统一次性灌输完整设定，场景没有现实压力。
SP-073,write|plan,世情,知识补充,世情情感|生活细节|克制表达|社会现实,世情文情绪场怎么写|生活化情感怎么写|亲情矛盾怎么不狗血,现言|年代|都市,世情情绪场要把情感藏进生活动作和社会压力里，少直接喊痛。,世情文最打人的是角色明明在做小事，读者却看见了关系里的大裂缝。,做饭、收拾、送钱、看病、排队、搬家这些动作都能承载亲情、亏欠和现实压力。,世情场景,生活动作承载情感,适合亲情矛盾、邻里冲突、职场压力和婚姻裂缝。,她把那碗肉汤推给弟弟时笑了一下，自己筷子却一直停在咸菜边上。,角色长篇独白自己多委屈，没有生活动作和现实关系支撑。
SP-074,write|plan,替身,知识补充,替身潜台词|沉默试探|话题躲避|旧称呼,替身文对话怎么写|潜台词怎么写|冷战对话怎么有张力,现言|古言,替身文对话要让表面和平和深层刺痛并存，沉默和转移话题比直说更有力。,替身文的张力往往藏在没说出口的话里，读者要能从称呼和停顿读出真相靠近。,旧称呼、相似偏好、突然改口、避开名字和过长沉默都能成为潜台词。,情感场景,替身潜台词对话,适合暧昧期试探、真相前夜、冷战和追妻阶段。,他叫出那个名字的一瞬间就停住了，她却笑着替他接完：你是想说她吧。,角色把所有真相和心情一次说透，潜台词空间被清空。
SP-075,write|plan,快穿,知识补充,任务翻车|剧情偏差|好感崩盘|系统警报,快穿任务翻车场景怎么写|偏差值爆表怎么写|好感崩盘怎么排,快穿,任务翻车场景要同时给系统警报、人物反应和现实后果，别只报一个数值下降。,快穿翻车的张力来自任务目标和真实人物同时失控。,好感骤降、偏差值飙升、身份暴露和倒计时压缩都要落到现场动作里。,快穿场景,系统警报叠现实后果,适合单元中段反转、任务失败、攻略对象识破和身份暴露。,系统提示音响到第三遍时，他却没有质问她为什么骗我，只把那枚任务道具轻轻推回了她面前。,只写好感度-50，没有角色反应和现实后果。
SP-076,write|plan,种田,知识补充,农忙场景|抢收|插秧|晒谷|邻里互助,农忙怎么写|抢收场景怎么有紧张感|种田劳动怎么不流水账,种田|年代,农忙场景要写天气、体力、工具和人手调度，让劳动直接影响收益和关系。,种田劳动戏的好看来自时间压力和群体协作，而不是流水账干活。,抢收、晒谷、插秧、修渠都能带出邻里关系、家庭分工和现实风险。,种田场景,天气倒逼式农忙协作,适合抢收、灾年前储粮、家庭和解、邻里互助。,天边雷声刚滚过来，院里所有人都没再说话，只把最后两筐谷子往屋檐下抢。,只写大家忙了一天很辛苦，没有天气、工具和具体分工。
SP-077,write|plan,游戏,知识补充,电竞赛场|BP环节|团战转折|解说反应,电竞比赛场景怎么写|BP怎么写|团战赛场怎么排,游戏,BP和赛场场景要让读者知道双方在赌什么，团战结果为什么改变局面。,电竞比赛场不是喊燃，而是把选择、资源和操作价值同步展示。,禁选、阵容克制、视野争夺、关键冷却和解说停顿都能让比赛更可读。,竞技场景,BP到团战的赛事递进,适合职业赛、校园赛、网游公会战和体育竞技。,解说刚说这个阵容缺开团，他就把最后一手锁在了最冷门的辅助位上。,只写双方进入比赛然后主角操作很秀，缺少战术和赛场节拍。
SP-078,write|plan,历史,知识补充,朝堂场景|奏对|弹劾|借势改判,朝堂戏怎么写|弹劾场景怎么有张力|历史权谋场景怎么排,历史|古言,朝堂场景要写程序、站位、称呼和利益风向，别把它写成普通吵架。,朝堂戏的压迫来自每句话都可能牵连官位、家族和党派。,谁先出列、谁沉默、谁引用旧例、谁递奏章，都能显示权力流动。,权谋场景,程序压迫式朝堂奏对,适合弹劾、翻案、赐婚、军情争论和权力转向。,御史念到第三条罪名时，站在东侧的几位大臣终于低下头，谁都知道风向变了。,群臣像普通会议一样自由发言，没有礼制和程序。
SP-079,write|plan,科幻,知识补充,工程抢修|舱外作业|氧气倒计时|技术故障,科幻抢修场景怎么写|太空救援怎么写|工程故障怎么紧张,科幻,工程抢修场景要把时间、步骤、失败风险和资源限制写清楚。,科幻救援的紧张感来自冷静执行和倒计时逼近。,氧气余量、通信延迟、压力阀、备用电源和工具缺失都能成为具体压力点。,科幻场景,倒计时工程抢修,适合星舰事故、末世设备修复、基地断电和舱外救援。,氧气还剩九分钟，他却先关掉了照明，因为那点电要留给舱门最后一次解锁。,用一个万能按钮修好设备，过程没有技术限制和失败风险。
SP-080,write|plan,衍生,知识补充,名场面变奏|原作回响|if线分歧|旧台词回收,同人名场面怎么写|原作回响场景怎么排|if线分歧怎么落场,衍生,名场面变奏要先唤起原作记忆，再用一个选择改出新分歧。,衍生场景的力量来自熟悉感和新变化同时存在。,旧台词、旧道具、旧地点和原本的失败结果都可作为回响点，但新分歧必须带来代价。,衍生场景,原作回响式名场面变奏,适合同人改命、if线、原创角色介入和遗憾补完。,他说出那句原本会成为遗言的话时，这一次有人先一步握住了他的手腕。,只是复刻原作名场面，没有新选择和后续代价。
SP-081,write|plan,年代,知识补充,年代早晨|票证生活|工厂上班|院落烟火,年代日常场景怎么写|四合院早晨怎么写|工厂上班前怎么写,年代,年代日常场景要把物件、时间压力和邻里眼光融合进动作里，别做怀旧清单。,生活感来自角色一边过日子一边被时代资源限制。,适合用做饭、排队、取水、上班铃和院里招呼带出年代气。,年代场景,资源限制式晨间日常,适合开章、转场、人物出场和关系铺垫。,锅里的玉米糊刚冒泡，院门口已经有人喊她借火，墙上的挂钟离上工只剩十分钟。,罗列搪瓷缸、军大衣、自行车，没有人物行动和压力。
