编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,技法类型,技法名称,适用场景,毒点,正例,反例
WT-039,write|plan,环境,知识补充,五感环境|沉浸感|多感官描写|环境氛围,环境描写怎么更沉浸|五感怎么一起用|场景氛围怎么立起来,全部,环境描写至少调动两到三种感官，再把它们和角色当前情绪或任务压力绑定。 ,多感官环境描写最大的作用，是把场景从背景板变成真正能压到人物身上的东西。,霓虹映水、铁皮雨声、垃圾臭味、口中血腥味，这些叠加起来才能形成完整的现场感。,环境,五感分层环境铺陈,开场氛围|追逐战|恐怖场景|情绪映射,只写看到什么|五感全堆一起没有主次|环境和人物状态完全脱节,雨点砸在铁棚上的脆响和下水道返上来的腐气同时扑来，让巷子像一口正在冒热的旧锅。,这是一条很黑很潮湿的巷子，然后没了。
WT-040,plan|write,结构,知识补充,多线汇聚|群像结构|汇聚点|大事件收束,多线怎么汇到一起|群像文怎么不散|汇聚点怎么设计,全部,所有支线都必须被一个卷级大事件吸过去，别让人物各自精彩却永远碰不到。 ,多线叙事真正稳的时候，不是线越多越好，而是它们最终会在一个节点上互相改写命运。,围城、总决战、庆典爆炸、灾难降临都可以是汇聚点，它能把原本分散的角色价值一次性点亮。,结构,汇聚点多线收束,群像大纲|多主角并行|大卷高潮前布局,支线彼此无关|汇聚点太弱只像普通碰头|切视角很频繁但没有收束价值,前面分散在军营、朝堂和民间的三条线，最终都在都城围困那一夜撞到一起。,每个角色都有自己的故事，但到结尾都像另一本书的人。
WT-041,plan|write,人物,知识补充,人物弧光|催化剂|成长触发|人物转折,人物怎么发生变化|成长催化剂怎么设计|弧光怎么不突兀,全部,角色变化必须被具体事件逼出来，别让他某天突然想通了。 ,人物弧光的本质不是标签替换，而是某个事件把旧伤、旧选择和新代价同时推到台前。,导师死亡、背叛、任务失败、孩子受伤，这些具体催化剂会逼人物从旧逻辑里断出来。,人物,催化剂推动人物弧光,角色转折|中段成长|主角责任觉醒|反派崩塌,没有催化事件就硬改性格|转变来得太快|转变后行为模式没跟上,他不是忽然学会负责，而是在亲手埋了师父后，第一次开始替别人做决定。,上一章还自私冷血，下一章突然圣母心泛滥，却没有任何触发过程。
WT-042,plan|write,叙事,知识补充,不可靠叙述|违和感|叙述扭曲|视角陷阱,不可靠叙述者怎么写|叙述怎么埋违和|让读者后面回看恍然大悟怎么做,悬疑,先保证叙述看起来成立，再悄悄埋进时间、物理细节或记忆缺口的违和，不要一眼看穿。 ,不可靠叙述最难的地方，是让读者觉得哪里不对，但又说不清到底哪里出了问题。,漏写血迹、时间顺序错位、旁人从未回应某个“同伴”，都能成为后续反转的合法抓手。,叙事,不可靠叙述埋违和,第一人称悬疑|记忆缺失|精神错乱视角,违和太大直接暴露谜底|全靠故意隐瞒关键信息|揭晓后解释不回前文,他描述案发现场时总绕过镜子，而镜子恰好是唯一会暴露真相的物件。,作者直接把一半信息藏起来不写，揭晓时再补出来强行反转。
WT-043,plan|write,结构,知识补充,双时间线|镜像物件|倒叙插叙|非线性结构,双时间线怎么串|倒叙插叙怎么不乱|过去线和现在线怎么对应,悬疑|现言|科幻,给双线准备共同物件或共同意象，让过去线负责解释现在线，而不是平行占篇幅。 ,双时间线最稳的连接器，不是强行切视角，而是一个会在两边都出现、意义却不断变化的锚点。,坏掉的表、旧照片、缺角钥匙、未寄出的信，都能在两条时间线里承担镜像和翻译作用。,结构,双时间线镜像物,非线性叙事|开篇即高潮|追因式结构,两条线像两本书|切换时机随意|过去线不能真正改写现在线理解,现在线里的断表停在七点十三分，过去线一路追到最后才解释它为什么永远停在那一刻。,插叙只是补背景，删掉也不影响现在线推进。
WT-044,plan|write,推理,知识补充,心理侧写|证据推人|案件画像|侧写逻辑,心理侧写怎么写得站得住|通过证据推人物怎么做|刑侦分析怎么不玄学,悬疑|都市,每一条侧写结论都要追溯到对应物证或行为痕迹，分析是推导，不是占卜。 ,证据支撑式侧写能让‘看人’这件事具备逻辑感，也能顺带把凶手压成一个越来越真实的轮廓。,过度杀戮、清理痕迹、带走纪念物、重复路径，这些都比空口心理学更能支撑画像成立。,推理,证据支撑式心理侧写,案情研判|追踪预判|对手画像|智斗铺垫,结论跳太快|证据与人物画像不匹配|全靠天才直觉替代推理,她先指出窗台没有泥，再推到凶手不是临时翻入，而是熟悉屋内布局的熟人。,角色看一眼现场就说凶手肯定童年缺爱且会在东区再犯，没有任何支撑。
WT-045,plan|write,伏笔,知识补充,伏笔回收检查|回溯感|恍然大悟|草蛇灰线,伏笔回收前怎么检查|真相揭晓怎么让读者想起来|草蛇灰线怎么做,悬疑|奇幻,回收前先逐条确认旧线索能被读者回想起来，而且揭晓时真的能解释前文每个怪点。 ,好的伏笔回收，不只是答案出现，而是答案一出现，读者立刻想起那些曾被忽略的小异常。,检查重点是三件事：前文有没有埋、埋得会不会太显眼、揭晓后能不能一一对上。,伏笔,伏笔回收回溯校验,大反转前|终盘揭晓|修文复盘,揭晓很炸但前文没埋够|埋太密一眼就猜到|真相出来后还有一堆怪点解释不了,揭出管家是凶手时，前文他擦门把手、缺席时间点和一句随口抱怨都能被一口气串起来。,真相揭晓后读者回翻前文，根本找不到任何合理线索。
WT-046,write|plan,环境,知识补充,动态天气|光影推进|环境联动|天气节奏,天气怎么跟剧情一起变|光影怎么推动气氛|环境怎么有流动感,全部,不要只写当前天气，要写它如何一步步变化，并让这份变化和情绪、冲突同频。 ,动态环境描写的好看，在于它不是静态背景，而是跟着人物关系和局势一起推进。,远雷、骤雨、停风、天光退尽、云缝见亮，都是可以和情绪峰值同步推进的节拍器。,环境,动态天气光影联动,争执升级|大战将起|告白反转|卷尾收束,天气纯装饰|变化突兀没有过程|环境强行抢戏压过人物,她还在嘴硬，廊外的雨却已经从密线砸成了白墙，像替两人先一步把气氛逼到极限。,上一句晴空万里，下一句忽然雷暴，只因为作者想煽情。
WT-047,write|plan,对话,知识补充,沉默角色|多人对话|不说话的人|会议戏,不说话的人怎么写出戏|多人对话里沉默者有什么用|会议戏怎么更有暗流,全部,在多人对话里专门追踪沉默者的动作和视线，他往往比正在说话的人更能释放危险信息。 ,沉默的声音往往最值钱，因为读者会本能地追问：他为什么不说，他在观察什么。,汗、停顿、抿唇、看门口、避开视线，这些都能让沉默者成为伏笔和暗流的承载器。,对话,沉默角色调度法,群像会议|审讯|团队分工|家庭对峙,沉默角色像空气|只顾台词忘了行为线|所有人都在说导致信息过载,大家还在争论路线，只有最角落那个人始终没抬头，指节却把纸杯捏出了裂纹。,四个人说了三页台词，第五个人像被作者遗忘了一样完全消失。
WT-048,plan|write,结构,知识补充,时间线管理|倒推法|时间跳跃|年龄校准|大纲时间,时间线怎么不乱|大纲怎么倒推时间|什么时候该时间跳跃,全部,先用终局节点倒推关键年份和成长目标，再决定哪些时间段该展开，哪些该跳过。 ,时间线管理不是记流水账，而是用时间约束反过来逼结构更紧、更准。,第十年魔王苏醒、第三年战争爆发、第一年主角入学，这类硬节点一确定，前中后期节奏就会清晰很多。,结构,倒推式时间线校准,长篇大纲|历史跨年叙事|成长升级文,年龄和事件对不上|修炼写太满导致节奏停滞|时间跳跃毫无标记,既然三年后必须守住边关，那主角在第一年末就不能还困在新手村打杂。,主角二十岁写了十卷，时间却只过去三个月。
WT-049,write|plan,感官,知识补充,多感官描写|感官层次|视觉听觉触觉|沉浸感,感官描写怎么不乱|多感官怎么排|场景沉浸感怎么写,全部,先选一个主感官领路，再补两种副感官，不要五感平均摊成清单。,多感官描写越强，越要有主次排序，否则画面会糊成说明书。,同一段里让视觉定场、听觉加压、触觉收尾，或反过来让触觉先刺入，再用气味和声音补充，会比五感平均铺陈更有效。,感官,主次分层式多感官描写,诡异场景|亲密距离|战斗受击|环境入场,五感一股脑全写|每句都换感官导致失焦|只有形容词没有动作依托,门缝里先漏进来的是潮湿霉味，接着才是脚步声，一下一下踩在木地板的空心里。,房间很黑很冷很安静很臭也很潮湿，作者把能想到的感觉一次全报完。
WT-050,write|plan,动作,知识补充,动作序列|微表情|连贯动作|细节推进,动作细节怎么写连贯|微表情怎么排|动作序列怎么不跳,全部,把一个情绪节点拆成可见的三到四个连续动作，别直接从站着跳到崩溃。,微动作连锁能把情绪和关系变成可见过程，让场面不只剩心理结论。,视线转移、手指停顿、呼吸变化、肩背绷紧和半句打断，都是能连成节拍的动作链。,动作,微动作连锁推进,对峙|告白|审讯|谎言暴露,动作只有一个结果|动作和情绪脱节|每次都写同样的咬唇握拳,她先去拿杯子，手指碰到杯沿时却顿了一下，最后只是把它往他那边推过去，始终没抬眼。,她很紧张，于是咬唇、握拳、发抖、哭了，所有反应同时出现没有层次。
WT-051,write|plan,对话,知识补充,潜台词|双层对话|对话目的|说一套想一套,潜台词对话怎么写|对话怎么有暗流|人物对话怎么藏意思,全部,每段对话先明确表层目标和暗层目标，让人物嘴上说的和真正想得到的东西保持张力。,有潜台词的对话，不是故作含糊，而是让表层交流和真实博弈同时发生。,问候可以是在试探，玩笑可以是在逼供，道谢可以是在划边界；关键是每句台词后面都能对照一个真实目的。,对话,表层目的与潜台词双轨,旧情重逢|权谋试探|谈判|家庭对峙,潜台词全靠读者猜|台词和人物目标无关|所有人都绕圈不推进信息,他问她最近睡得好吗，真正想确认的却是她是不是还在吃那种会让手发抖的药。,两个人全程说谜语，谁也不表达信息，读者只剩困惑。
WT-052,write|plan,结构,知识补充,开篇炸点|结果先行|信息前置|快开局,开头怎么更炸|第一段怎么抓人|结果先行开篇怎么写,悬疑|都市,开篇先交出异常结果或高压现状，再用最短路径补足读者必须知道的前因。,信息前置式开篇的重点，不是把设定讲快，而是先让读者知道眼下出事了。,婚礼取消、尸体少了一具、校规多了一条名字，这类结果先行能立刻给阅读理由，背景只补最必要部分。,结构,信息前置炸点开篇,第一章|短篇首段|卷首重启|高冲突开局,结果先抛了却迟迟不解释必要信息|开头全是背景补课|炸点和后文主线无关,婚礼开始前十分钟，我收到一张照片，照片里站在新郎身边的人，是三年前已经下葬的我自己。,故事开始于很久很久以前的一个世界，我们先来介绍历史和设定。
WT-053,write|plan,叙事,知识补充,快节奏叙事|镜头切换|短句推进|高信息密度,快节奏怎么写|场景切换怎么不乱|短篇叙事怎么提速,都市|悬疑,每次切换镜头都要带来新信息、新压力或新目标，不能只是空转换景。,快节奏叙事不是句子短就够，而是每个段落都在推进局势。,可以用动作镜头、反应镜头、证据镜头、倒计时镜头交替推进，让信息密度高但方向始终明确。,叙事,镜头切换式快节奏叙事,追逐|公开翻盘|多人混战|短篇高潮,只剩碎片剪辑没有因果|切得太快导致读者失位|每段都在重复同一信息,电梯下坠，手机震动，楼下警灯亮起，而她刚发出去的那条语音在这一秒才显示已送达。,场景一直切，可每个片段都不提供新信息，只让读者觉得乱。
WT-054,write|plan,规则,知识补充,规则矛盾|交叉校验|真假规则|隐藏规则,规则怪谈怎么自检|矛盾规则怎么写|隐藏规则怎么找,悬疑|科幻,把规则按对象、时间、空间和例外条件拆开比对，先找出哪两条不能同时为真。,规则类故事的精彩，不只在写出规则，而在让角色和读者一起发现规则哪里对不上。,一条规则说熄灯后不得出门，另一条却要求零点去领餐，这种矛盾只有落到条件表里才能被真正利用。,规则,规则矛盾交叉校验,副本推演|中盘破局|修文检查|白板讨论,规则只是吓人句子|矛盾写了却没人验证|隐藏规则完全靠作者临时宣布,他们把规则按时间重排后才发现，真正不能进入食堂的不是所有人，而是没有佩戴工牌的人。,规则前后互相打架，但角色和作者都当没看见，最后随便挑一条生效。
WT-055,write|plan,推理,知识补充,推理链|假设排除|证据链|逻辑推演,推理过程怎么写|破案怎么更严密|规则推理怎么排,悬疑|科幻,让角色先提出多个可能，再用证据逐个排除，别一步跳到标准答案。,推理戏之所以好看，是因为读者能看见错误假设被证据一层层打掉。,真相最好不是灵光一闪，而是通过时间线、证词、现场痕迹和规则限制逐步缩小可能性。,推理,假设-证据-排除链,破案会议|副本复盘|真相揭晓前|多人讨论,主角突然神启|证据只支持答案不支持过程|没有错误分支导致推理太假,他们先怀疑是管理员改了值班表，可监控证实他昨晚没上楼，于是嫌疑只能回到那名一直声称自己没读过规则的新住户身上。,主角看了一眼现场就说我懂了，然后直接公布真相。
WT-056,write|plan,结局,知识补充,多结局|结局分歧|真结局预埋|终局条件,多结局怎么埋|真结局条件怎么前置|结局分支怎么设计,悬疑|游戏,在中前期就埋下不同结局所需的选择、代价和线索，让终局分歧像收束而不是另起炉灶。,多结局设计的关键不在数量，而在每条结局都能追溯到前文真实选择。,普通结局可以来自求稳，真结局可以来自额外探索和更高代价；只要条件提前埋好，结尾就会既公平又有余震。,结局,分歧终局前置预埋,长篇收束|副本真结局|番外IF线|多周目结构,结尾突然冒出从未出现的隐藏条件|不同结局只是换名字|角色选择与结局无因果,早在第二卷他就两次拒绝销毁那张旧车票，直到终局读者才知道，那正是通往真结局的最后通行证。,结局前一章忽然新增一条隐藏任务，然后告诉读者这才是完美结局条件。
WT-057,write|plan,推理,知识补充,证据投放|证据顺序|线索递进|破案节拍,证据怎么一条条放|线索顺序怎么排|破案过程怎么更有层次,悬疑|都市,先投会制造方向感的证据，再投能打脸旧判断的反证，别一开始就把王炸全扔出来。,证据投放顺序决定推理戏的可读性，顺序对了，真相会自己把读者往前拖。,先给现象证据，再给矛盾证据，最后给定锤证据，读者才能跟着角色一起修正判断而不是被动听答案。,推理,证据投放台阶法,破案会议|公开翻盘|规则校验|终盘揭晓,关键证据太早亮完|证据顺序颠倒导致看不懂|所有证据一次性念稿,他们先证明死者离开过病房，再翻出监控死角，最后才把那双被调包的拖鞋摆上桌面。,主角一上来直接拿出终极证据，前面的分析过程全成废话。
WT-058,write|plan,反转,知识补充,误导线|真线|双线铺垫|反转公平性,反转怎么既误导又公平|真假线怎么一起铺|误导伏笔怎么做,悬疑|奇幻|都市,误导线必须自洽但不完整，真线必须真实存在但不抢戏，两条线一起跑反转才站得住。,强反转不是只埋真线，而是让读者有一条足够像真的误导路线可以先走进去。,行为误导、话术误导、规则误导和时间线误导都能用，但真线必须在细节、例外和反常里提前露头。,反转,真误双线并跑法,身份反转|规则反转|幕后黑手揭晓|真结局前置,误导线明显假得像作者在骗|真线完全看不见|反转后前文无法自圆其说,所有人都盯着说话最多的护士时，真正暴露问题的却是那个每次交班都提前半分钟关灯的保洁。,作者强行隐瞒关键信息，反转靠信息封锁而不是铺垫。
WT-059,write|plan,结构,知识补充,多线切换|视角切换|锚点|场景转场|叙事清晰,多线叙事怎么切|视角切换怎么不乱|转场锚点怎么做,全部,每次切线前留下一个未解动作、物件或问题做锚，再在新线开头给出清晰坐标。,多线切换越频繁，越需要锚点帮读者记住上一条线停在哪、这一条线从哪开始。,时间标记、人物目标、物件线索和未完成动作，都是很好的切线锚。没有锚，多线只会像碎片。,结构,多线切换锚点法,群像长篇|副本与现实双线|多人并行调查|大战前分线,切线只为制造悬念不管可读性|新线开头没有坐标|视角切换后读者分不清谁在做什么,他把那把生锈的钥匙攥进掌心，下一章直接切到三小时前的码头，而那枚同样的钥匙正挂在另一个人腰间。,上一段还在医院，下一段突然跳到地下室，时间人物地点都不交代。
WT-060,write|plan,情绪,知识补充,情绪爆发|三段式|高压场景|争吵|诀别,高情绪场怎么排|吵架诀别怎么写|情绪爆发怎么分段,全部,高情绪场先给压抑铺垫，再给失控爆点，最后留余波，不要一上来就喊满。,情绪场的冲击力来自积累、爆发和余韵三段连成一线，而不是单纯大吼大叫。,铺垫段负责让矛盾站稳，爆发段负责撕开最深的伤口，余韵段负责让关系真的发生变化。,情绪,高压情绪三段爆发,决裂|道歉无力|忍耐爆发|守夜夜谈,情绪一开始就顶满|爆发完立刻翻篇|只写台词不写余波,她前半段一直只说没事，直到他把那张旧票根拿出来，她才第一次真正抬头看他。,角色见面三句话就直接崩溃大哭，前面没有任何压抑和触发过程。
WT-061,write|plan,节奏,知识补充,爽点停顿|爆点后反应|静默回响|停一拍,爽点后要不要停一下|爆点后怎么让读者更爽|反杀后怎么写反应,全部,大爆点后先停半拍给反应和回响，再决定补刀，不要连续吼到失去层次。,爽点后的停顿不是降温，而是让重量真正落下，让读者和场内人一起消化刚发生的事。,寂静、视线、掉落的物件、改口的称呼和迟到的掌声，都会让前一秒的爆点更有分量。,节奏,爆点后半拍静默法,公开翻盘|越级反杀|真相揭晓|久别重逢失守,刚打脸完立刻下一波输出|周围人反应全是模板式震惊|停顿太长把势头放掉,话音落下后，连直播弹幕都像卡了一秒，最先弯腰去捡话筒的人竟是刚才叫得最凶的那个记者。,主角打脸后立刻连讲三页道理，完全不给现场和读者反应空间。
WT-062,write|plan,设定,知识补充,代价即时化|金手指副作用|立即后果|使用代价,金手指代价怎么立刻显现|外挂怎么不白给|能力使用后果怎么写,悬疑|玄幻|科幻,大能力一旦发动，立刻给出身体、关系或世界层面的代价痕迹，别把后果全拖到很久以后。,金手指的可信度，很多时候不靠说明，而靠它一用完就让人付出真实代价。,吐血、失声、失忆一角、被高位存在注视、队友恐惧、规则污染加深，都是能马上落地的后果。,设定,代价即时落地法,大招爆发|禁术使用|系统越权|副本保命,说有代价但当场没人受影响|代价只体现在后文一句疲惫了|能力越来越像万能钥匙,门被他强行撬开的同时，腕上的黑纹也沿着静脉往上窜了一截，旁边那名队友第一次下意识后退。,主角每次开挂都无伤通关，所谓代价只是作者口头提醒。
WT-063,write|plan,规则,知识补充,规则文本|可执行规则|口语化规则|条目写法|规则呈现,规则怎么写得能记住|规则条目怎么更像真规则|怪谈规则怎么表述,悬疑|科幻,规则文本要像真会被人拿来照做的条款，短、准、能执行，再在局部埋异常。,好规则不是恐怖句子堆叠，而是先让人觉得能照着活，再在细节里生出不安。,规则可分成动作限制、时间限制、地点限制和例外条款，表述越清楚，后续推理和反转越有抓手。,规则,可执行规则文本法,副本入场|校规公告|守则发放|规则校验,每条规则都像恐怖诗歌|禁止事项太抽象无法执行|异常点藏得太深读者记不住,二十三点后不得独自进入东侧走廊，如必须前往，请先关闭手电并保持沉默。,如果你感到有什么不对就不要去相信它们否则后果自负，像气氛文案不像规则。
WT-064,write|plan,结局,知识补充,后日谈|余味收束|结局余韵|轻落地|完结收口,后日谈怎么写|结局后怎么留余味|完结怎么轻轻落下,全部,后日谈只回看最值得留下的那几件事，让余味落在人物和母题上，不要再开新战场。,好的后日谈不是补流水账，而是给读者一个情绪落点，证明故事真正改变了谁。,一封信、一次归家、一个旧地回看、一个新习惯，都比大篇幅交代十年后更能留下余韵。,结局,后日谈轻落地收束,正文完结|卷尾收束|人物番外|多结局补白,后日谈继续开新坑|把人物余生写成简历|为了甜而甜忽略前文代价,他终于学会在面里留一点香菜，而那家旧店的灯，也第一次不是为等谁而亮着。,结局后再讲二十页新设定和下一场危机，彻底冲散收束感。
WT-065,write|plan,伏笔,知识补充,多重解释|伏笔埋设|表层理解|真实含义|回收方案,伏笔怎么自然埋|线索怎么不明显|伏笔回收怎么有说服力,悬疑|全部,伏笔首次出现要让读者有合理的表层解释，真实含义等回收时再翻面。,自然伏笔不是把重点藏起来，而是给它一个当时也成立的普通理由。,台词、物品、行为、场景细节都可以埋伏笔，关键是回收后能让读者觉得原来如此而不是作者补丁。,伏笔,表层合理真实翻面法,悬疑伏笔|身份伏笔|物品伏笔|情感伏笔,伏笔第一次出现就过分显眼|回收时含义和前文不兼容|埋了没有记录,她把那枚旧扣子缝回袖口时没人多想，直到后文发现只有失踪者的制服才用这种扣子。,前文突然写一个神秘物品，但没有任何表层用途，读者一眼知道它在等回收。
WT-066,write|plan,推理,知识补充,假设反证|证据链|推理呈现|线索分布,推理过程怎么写|证据链怎么呈现|悬疑解释怎么不枯燥,悬疑,推理段落按现象、假设、证据、反证、结论推进，让读者能跟着推而不是只听答案。,推理好看不是主角聪明，而是证据链一步步把错误答案挤掉。,每个关键结论至少对应一个证据和一个被排除的假设，读者才会觉得公平。,推理,假设反证推进法,案件复盘|规则推理|身份判断|生路推理,结论先行没有证据|证据只在最后空降|推理跳过关键步骤,如果钥匙在十点后才被拿走，那么九点半的脚步声就不是凶手，而是有人提前布置了误导。,主角闭眼想了想就知道真相，没有展示线索如何连接。
WT-067,write|plan,场景,知识补充,年代感|生活细节|时代语汇|制度约束|真实代入,年代感怎么写|时代细节怎么不堆|年代文语言怎么稳,年代,年代感要通过制度、物资、称呼和生活动作影响剧情，别把老物件当装饰清单。,时代细节只有参与人物选择，才会从背景变成故事压力。,票证、单位、邻里、供销社、口粮、称呼和政策边界都可以嵌入动作和对话，让读者感到角色真的活在那个年代。,场景,制度入动作年代感写法,年代日常|四合院|单位冲突|家庭饭桌,只堆老物件|现代口吻乱入|时代限制不影响人物决定,她没说自己缺布，只把磨白的袖口往里卷了卷，旁边大妈立刻看懂了她为什么不肯相亲。,屋里有搪瓷缸和老收音机，然后人物用现代职场话术聊天。
WT-068,write|plan,情感,知识补充,强情绪描写|感官动作心理|虐点表达|情感共鸣,女频情绪戏怎么写|虐点怎么写痛|情感描写怎么不空,现言|古言|幻言,强情绪场用触发、身体反应、动作选择和心理判断串联，不要只堆痛苦词。,女频高情绪描写要让读者看见角色为什么痛，也看见她痛完后做了什么选择。,视觉、声音、触觉、停顿和小动作都可以承载情绪，但每个细节都要和人物关系或旧伤有关。,情感,触发反应选择链,虐点|决裂|重逢|告白失败|道歉无力,连续堆悲伤绝望等抽象词|情绪和人物经历无关|哭完不改变行动,听见那句和她一样时，她没有哭，只是把已经签好的名字慢慢划掉，纸都被笔尖刮破了。,她非常痛苦非常绝望非常伤心，心里有说不出的复杂感情。
WT-069,write|plan,视角,知识补充,反派视角|有限信息|认知盲区|敌方推演|翻车铺垫,反派视角怎么写|敌方计划怎么呈现|反派翻车怎么不降智,全部,反派视角只展示他知道的信息和合理判断，保留主角真正变量，翻车才不显得降智。,反派不是为了失败而存在，他的视角要让读者承认他当时那样判断是有道理的。,写反派计划时给资源、判断依据和盲区三项，后续让盲区被前文小变量击穿，失败就会更爽。,视角,有限信息反派推演法,反派布局|阶段高潮前|智斗对抗|翻车铺垫,反派故意忽略明显线索|反派视角泄露太多主角底牌|失败只靠突然变蠢,他查过所有参赛者的背景，唯独没有把那个送水的杂役写进名单，因为那人三个月前还只是个哑巴。,反派明明看到所有证据却强行不信，最后失败只因为作者要他输。
WT-070,write|plan,短篇,知识补充,第一人称|有限视角|内心独白|强代入,第一人称怎么写真实|短篇我视角怎么写|内心独白怎么不尬,全部,第一人称只写我能感知和推断的内容，用误判和盲区制造代入，不要上帝视角乱入。,第一人称最有力的是现场感和不确定感，而不是把所有背景解释给读者。,内心独白要贴近当下反应，优先写感官、判断和恐惧，少做长篇设定说明。,视角,第一人称有限认知法,短篇开头|悬疑误导|情绪冲突|付费卡点,我视角知道太多别人心理|内心独白像说明书|每段都在解释设定,我听见门锁响了两下，第一反应不是怕，是想起昨晚我明明把备用钥匙吞进了马桶。,我知道他们所有人的真实想法，也知道幕后黑手正藏在三楼。
WT-071,write|plan,规则,知识补充,规则语言|冷漠条款|异常措辞|可执行恐怖,规则怪谈语言怎么写|规则文本怎么吓人|守则怎么不空,悬疑,规则语言要先像真条款一样能执行，再用冷漠措辞和异常例外制造不安。,规则文本的恐怖感来自它把荒谬危险写得像普通管理要求。,短句、编号、条件、例外、违规后果和不解释原因都能增加真实感和推理价值。,规则,冷漠可执行规则写法,规则公告|副本守则|医院校规|员工手册,规则过于文学化无法执行|每条都只会吓人|没有条件和后果,二十三点后请勿回应走廊内任何人对你姓名的呼唤，包括亲属。,夜色吞没灵魂时请聆听命运的哀嚎，像气氛文案不是真规则。
WT-072,write|plan,恐怖,知识补充,恐怖递进|感官异常|日常偏差|心理压迫,恐怖氛围怎么递进|怎么不靠突脸吓人|规则怪谈压迫感,悬疑,恐怖描写从正常到轻微异常再到无法解释，递进比突脸更稳。,低成本恐怖靠日常偏差，读者越熟悉场景，异常越小越扎人。,先建立稳定秩序，再改一个声音、光影、气味或空间细节，最后让角色意识到规则正在靠近。,场景,日常偏差递进恐怖法,夜班|宿舍|医院|车站|规则副本,开场直接堆血腥|异常没有递进|角色不作任何合理反应,走廊尽头的灯每隔三秒闪一次，直到第七次，灯光里多站了一个人。,突然冒出鬼脸吓主角，之后没有规则意义。
WT-073,write|plan,战斗,知识补充,动作连续性|空间方位|战斗节奏|招式结果,战斗动作怎么写清楚|打斗空间怎么写|玄幻战斗不乱怎么办,玄幻|仙侠|游戏|奇幻,战斗动作要让位置、动作、反应和结果连续可追踪，别把镜头切碎。,清楚的动作戏不是细节越多越好，而是每一步都能看见因果。,先定距离和站位，再写攻击、闪避、反击和代价，必要时用环境物帮读者定位。,动作,空间连续动作链,近战|团战|追逐战|擂台战,只有光效和招式名|人物位置忽远忽近|攻击没有结果,他被逼到石柱左侧，退路只剩半步，所以那一剑不是刺向人，而是先斩断柱脚。,两人化作残影打了三百回合，读者不知道谁在哪。
WT-074,write|plan,潜台词,知识补充,替身潜台词|信息不对称|沉默|转移话题,替身文潜台词怎么写|话里有话怎么写|沉默怎么有意义,现言|古言,潜台词要基于信息不对称，让角色说表面话时同时暴露隐瞒、试探或逃避。,替身文对话的刺痛来自双方都没把真相说满，却已经被细节扎到。,旧称呼、停顿、改口、避开名字和突然转移话题都是高效潜台词工具。,对话,信息差潜台词法,替身文|误会期|冷战|追妻对话,所有话都直白解释|沉默没有信息|潜台词读不出具体指向,“你喜欢这个颜色？”她问。他顿了顿，说：“以前有人喜欢。”这句以前比名字更伤人。,“你把我当替身我很伤心。”潜台词被直接说穿，张力消失。
WT-075,write|plan,世情,知识补充,生活化情绪|克制留白|社会现实|细节共鸣,世情文怎么写情绪|亲情描写怎么克制|生活细节怎么写共鸣,现言|年代|都市,世情情绪用生活动作和留白承载，让读者从细节里自己读出委屈。,世情文最忌大喊大叫替代真实生活压力。,钱、饭、病、房、工作、邻里眼光这些现实细节，能比抒情句更快让读者共鸣。,情感,生活细节留白法,亲情冲突|婚姻裂缝|邻里关系|职场压力,情绪全靠旁白喊|社会现实缺席|角色像悬浮人,她没说自己没吃晚饭，只把碗里最后一块肉夹给父亲，又低头喝了一口已经凉透的汤。,她非常痛苦，因为家人都不理解她，作者直接替角色喊完情绪。
WT-076,write|plan,快穿,知识补充,快穿信息压缩|身份接收|任务提示|世界差异,快穿开局怎么快速交代|任务信息怎么不水|世界设定怎么压缩,快穿,快穿开局用现场危机和零碎信息拼身份，少用系统长篇播报。,快穿信息压缩的重点是让读者边看危机边理解身份，而不是先背设定。,称呼、物件、身体状态、手机记录、旁人反应和短提示可以共同完成世界接入。,叙事,危机拼图式快穿开局,快穿单元开头|任务突变|身份误判,系统一次性灌输设定|世界背景介绍太久|开局没有现实压力,她还没看清镜子里的脸，门外已经有人喊少夫人，老爷让你去祠堂认错。,系统把原主二十年经历完整讲完，读者还没进入场景。
WT-077,write|plan,历史,知识补充,制度约束|官场语言|时代口吻|权力边界,历史文怎么写制度感|官场对话怎么写|权谋文怎么不悬浮,历史,历史写法要让制度影响人物选择，官职、礼法和风险不能只当背景。,历史文可信度来自角色被时代规则约束，而不是现代人随便套古装。,奏报、门第、军令、户籍、税粮和礼制都应具体改变角色能说什么、能做什么。,叙事,制度约束入戏法,朝堂|军营|官场|家族权力,现代自由人思维乱入|制度只在设定里|角色随便越级行动,他没有立刻反驳，因为这句话若在堂上出口，先倒霉的不是对方，而是替他作保的老师。,主角在朝堂像开会一样随便插话，所有官员都听他讲道理。
