编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,人设类型,核心动机,行为逻辑,互动模式,毒点
CH-039,init|plan|write,长辈,知识补充,守门人长辈|老规矩角色|传统派长辈|旧制度代言人,老规矩守门人怎么写|传统派长辈怎么不脸谱化|守旧角色怎么更有力度,历史|古言|玄幻,让他守的不是抽象传统，而是一整套他亲身被证明过有效的生存法则。 ,老规矩守门人可写，不在于他顽固，而在于他的规则曾经真的救过人、稳过局、维持过秩序。,他会阻拦、怀疑、设门槛，但这不一定全错；真正的戏在于新世界已变，旧规矩仍部分有效却不再够用。,老规矩守门人,守住一套曾经保证家族、组织或个人活下来的旧秩序,优先相信过往经验和旧礼法，对新办法天然谨慎甚至排斥,常与改革者冲突|会卡门槛也会在新旧秩序找到有限让步,守旧只是为了当反派路障|旧规矩完全没合理性|转变来得过快像突然换脑
CH-040,init|plan|write,队友,知识补充,冒失队友|真诚莽撞|破局型角色|先冲后想,莽撞但不讨厌的角色怎么写|真诚型破局者怎么立|容易冲动的队友怎么更有用,全部,让他的冲动经常制造麻烦，但也让他在别人都不敢动时，成为第一个撕开局面的那个人。 ,冒失真诚型破局者不能只是拖后腿，他必须把‘先动一步’这件事变成团队某些时刻唯一的解法。,这类角色适合承担试错、打破僵局、用真心换信任的功能，只要代价和成长跟上，就会很讨喜。,冒失真诚型破局者,不想再眼看重要的人和事被犹豫拖掉，于是宁可先冲出去承担后果,思考常慢于行动，但情感判断敏锐，常在关键时刻凭直觉撞开僵局,会被军师型角色头疼|却也常靠真诚撬开封闭关系和死局,莽到没有脑子|永远闯祸却不成长|只会制造笑料不承担后果
CH-041,init|plan|write,主角,知识补充,藏锋主角|试探型主角|装弱观察|不先亮底牌,藏锋型主角怎么写|主角为什么不先亮牌|喜欢先观察后出手的人设怎么立,都市|玄幻|悬疑|古言,藏锋不是故弄玄虚，必须建立在信息差、试探需求或旧伤经验上，不要为了拖爽点硬捂。 ,藏锋试探型主角最稳的写法，是他先观察、先试错、先让别人暴露，再决定亮到底牌哪一层。,这种主角适合经历过背刺、资源不足或局势复杂的故事，他的谨慎会成为能力的一部分。,藏锋试探型主角,先摸清局势和敌友边界，再用最小代价取得主动权,习惯留底牌、看反应、做局部试探，只有在确定收益大于暴露成本时才彻底出手,常被急性子误解成怂或慢|一旦亮牌往往直接改写全场判断,纯为拖剧情而不亮牌|什么都知道却装傻|藏锋没有任何风险收益计算
CH-042,init|plan|write,守护者,知识补充,愧疚守护|补偿型关系|背债式保护|赎罪型照顾者,因为愧疚一直保护别人的角色怎么写|补偿型守护者怎么立|赎罪式照顾关系怎么做,全部,让守护背后有债，但别让他只会自我感动；真正的戏在于被保护的人未必需要这种补偿。 ,愧疚补偿型守护者的力量，在于他的照顾里永远混着亏欠、控制和不敢说破的过去。,他可能因旧案、旧伤、旧承诺而承担保护责任，但这种补偿常常同时带来过度介入、边界模糊和关系紧张。,愧疚补偿型守护者,用持续保护偿还一笔自己始终没有放下的旧债,会过度准备、替人做决定、在危险前抢先挡上，却不一定真正尊重对方意志,关心很重但边界感差|越在乎越容易替人安排人生|冲突常来自控制与感激错位,愧疚只有嘴上说说|守护全是圣父式奉献没有代价|被保护者永远只会感动不会反弹
CH-043,init|plan|write,主角,知识补充,不求救|硬扛型主角|不愿开口|独自承担,主角为什么不求救|硬扛型角色怎么写|总想自己扛的人设,都市|悬疑|玄幻,不求救必须有成本和成因，最好来自旧经验、羞耻感或对救援失望，别把它写成无意义拧巴。,绝不求救型主角的力量和问题，都在于他把开口视作更危险的一步。,这类角色往往习惯提前解决、先自己扛到底，但也容易因此错过支持、误伤关系，适合写成长弧。,绝不求救型主角,在失控前先靠自己处理掉一切，避免把软肋和无能暴露给别人,先隐瞒伤势和困境，再用加倍投入与过度准备掩盖问题，撑不住时才被动暴露,常让关心他的人又心疼又生气|信任建立往往从第一次开口求助开始,硬扛没有任何代价|明明一句话能解决却硬拖几十章|所有人都永远猜不到他的异常
CH-044,init|plan|write,前辈,知识补充,失踪前辈|传奇前辈|神话人物|留下传说,失踪前辈怎么写|传奇前辈怎么不空|前辈留白怎么做,玄幻|奇幻|现言|悬疑,让传说和真人之间始终留一条缝，既让人仰望，也让后续真相有翻面的空间。,被神化的失踪前辈最有戏的地方，是所有人都在借他讲话，却未必真的懂他。,他的手札、旧战绩、口耳相传和遗留规则可以不断加厚传奇感，同时埋下偏差和误读，为后续出场或真相服务。,被神化的失踪前辈,在离场前留下未完成的布局、警告或价值传承,即使不在场也通过旧物、旧规矩、旧部和传闻持续影响后人选择,常成为主角的目标影子或反证对象|别人越神化他，真相翻面时冲击越大,只有传说没有具体痕迹|一登场就跌成普通工具人|传奇与后续真相完全对不上
CH-045,init|plan|write,复仇,知识补充,自毁复仇|不计代价|燃尽型角色|报仇到死,复仇者怎么写得狠|不计代价的人设怎么立|自毁式角色怎么不悬浮,悬疑|都市|玄幻,自毁式复仇者不是一直发狠，而是每一次推进都真的在烧掉自己的未来。,这类角色最扎人的地方，是他明知道这条路会把自己烧空，还是觉得不走更活不下去。,他会牺牲关系、身体、名声和退路来换复仇推进，因此既可怕又让人替他惋惜。,自毁式复仇者,用复仇给早已断裂的人生找一个还能站得住的终点,愿意拿长期损失换短期推进|拒绝停手|常把自己也当成可消耗筹码,既吸引同类伤者也吓退想拯救他的人|冲突常来自别人试图把他拉回人间,复仇只靠嘴狠|代价全由别人承担|突然被一句劝说就完全放下
CH-046,init|plan|write,守护者,知识补充,过度负责|长兄如父|大姐头|替大家收拾残局,责任感太重的角色怎么写|大哥大姐型角色怎么立|总收拾残局的人设,全部,责任感要落在具体劳动和牺牲上，而不是光靠几句我来吧。,过度负责型角色之所以有张力，是因为他总在兜底，久了就不知道怎么把重量还回去。,这类角色适合承担资源分配、情绪安抚、残局修补功能，但也容易发展出控制欲和自我消耗。,过度负责型大哥大姐,只要自己先扛住，身边的人就不会再经历一次曾经的失控,抢着安排计划、检查物资、替别人收尾，很少把自己的需求排进优先级,团队离不开他|也会因他不肯放手而窒息|成长常来自学会分担,只会说教不干活|责任感没有来源|团队永远理所当然吸血却没人反馈
CH-047,init|plan|write,天才,知识补充,无害外表|危险天才|笑面疯子|温和怪物,看着无害但很危险的角色怎么写|危险天才怎么立|笑着算计的人设,悬疑|都市|科幻|奇幻,危险感要靠判断方式和边界异于常人来体现，不是单靠疯批台词。,无害外壳危险天才最抓人的地方，是他看起来最像不会出手的人，偏偏最知道怎么一击致命。,他可以礼貌、安静、甚至讨喜，但在规则、算计或实验上过于冷静，形成强烈反差。,无害外壳危险天才,证明自己的推演、作品或方案比人情和常识更值得信任,平时克制低调|一旦确认目标就极其精准|常用最小动作撬最大结果,让人想亲近又不敢深信|常被主角用来破局也可能随时失控,危险只靠夸张表情|天才没有具体能力支点|反差过头变成纯噱头
CH-048,init|plan|write,盟友,知识补充,利益盟友|先交易后真心|合作转忠诚|雇佣伙伴,盟友从利益变真心怎么写|合作关系怎么转忠|利益伙伴怎么立,都市|玄幻|悬疑|历史,转忠要靠共同承担风险和兑现承诺慢慢累，不要一两章突然兄弟情深。,利益型盟友好看，就好看在双方先算账，后来才发现彼此已经成了不能轻易放弃的人。,前期他会斤斤计较、谈条件、留后手，后期则在关键时刻主动多走一步，形成最有说服力的转向。,利益型盟友转忠,先确保合作值回成本，后来逐步把人本身纳入自己要保的范围,先交易后试探|先保底再加码|忠诚往往体现在危机时超出合同内容的选择,和主角嘴上清算得最明白|真正站队时也最干脆|很适合做关系升温线,刚认识就无条件忠诚|转忠没有触发事件|前后性格像换人
CH-049,init|plan|write,配角,知识补充,小人物逆光|边角角色|不起眼配角|被低估的人,小人物怎么写出分量|边角角色怎么变关键|不起眼配角怎么立,全部,让他在前期承担真实但不显眼的功能，后期关键时刻再让读者明白这个人一直不是背景板。,被低估的小人物最能制造回亮感，因为他的存在感前期低，价值却能在关键一刻暴涨。,门房、护士、抄表员、后厨、车站检票员、档案管理员都适合做这种角色，只要前文有稳定痕迹。,被低估的边角小人物,在自己有限的位置上守住一点本分、恩情或信念,平时低调做事|观察力常比主角团更接地气|关键时刻能提供别人拿不到的信息或帮助,前期常被忽略或礼貌对待|后期一旦站出来会直接改变局势或情感判断,前文完全没铺垫就突然变关键|小人物只靠卖惨博关注|重要性全靠作者旁白硬抬
CH-050,init|plan|write,长辈,知识补充,沉默长辈|旧案见证人|知道真相的老人|不肯开口,知情长辈怎么写|沉默见证人怎么立|老一辈藏真相的人设,悬疑|古言|历史,沉默必须有明确原因，是怕、愧、护、赌其一或其多，不要只是为了拖真相。,旧案见证型沉默长辈的张力，在于他越少说话，场里越能感觉到那段过去还没过去。,他可以通过旧物保存、下意识回避、特定日子异常、对某些人过度照顾等方式持续泄露信息。,旧案见证型沉默长辈,在保住某个人、某个家或某段体面的同时，尽量不让旧案再次吞掉下一代,平日少言寡语|逢关键物与关键地会失态|常用模糊劝阻替代正面说明,既像路障也像保护罩|主角越逼近真相，他越容易出现矛盾和松口迹象,沉默没有理由|一开口就把所有真相一次倒完|长辈除了知道真相没有任何生活质感
CH-051,init|plan|write,执行者,知识补充,规则洁癖|执行狂|流程至上|一丝不苟,特别讲规矩的角色怎么写|流程控人设怎么立|规则洁癖型角色,悬疑|都市,让他对规则的依赖来自真实生存经验，而不是单纯抬杠和烦人。,规则洁癖型执行者的魅力，在于他像一把冷硬量尺，能保命，也会让人窒息。,这类角色擅长记录流程、压缩变量、避免冒险，但在需要破规或冒险时会成为重要冲突点。,规则洁癖型执行者,相信只有严格遵守流程，才能把损失压到最低并避免再一次失控,习惯先确认边界再行动|对违规极敏感|面对模糊情境会优先选择保守方案,是团队里最稳定的安全阀|也常与冒险派、直觉派发生正面摩擦,规矩只是口头设定|关键时刻完全不按自己逻辑来|写成纯粹烦人精
CH-052,init|plan|write,破局者,知识补充,自我诱饵|拿自己试|钓出真相|高风险破局,把自己当诱饵的角色怎么写|高风险破局者怎么立|主动试险的人设,悬疑|都市|玄幻,敢拿自己做诱饵，必须建立在判断力、忍痛能力和真正承担后果的意志上。,自我诱饵型破局者最打人的地方，是他愿意把自己放进最危险的位置，只为了逼真相先露头。,这种角色适合承担试毒、套话、试探规则和引出幕后存在的功能，危险感极强。,自我诱饵型破局者,如果总有人得先去试最危险的那一步，那不如由最清楚代价的人来承担,会提前算好撤退线和观察点|关键时刻仍敢把自己放进局里试真相,容易让队友又依赖又愤怒|与守护型角色常形成强烈拉扯,只会作死没有算计|次次拿自己冒险却毫无代价|队友永远机械同意
CH-053,init|plan|write,观察者,知识补充,记录员|记笔记|观察成瘾|细节狂|档案控,爱记一切的角色怎么写|观察型角色怎么立|记录员人设,悬疑|科幻,让记录习惯成为真正的生存能力和性格痕迹，而不是作者的便利备忘录。,记录成瘾型观察者的价值，在于别人忽略的重复和偏差，在他这里都会留下痕迹。,笔记、录音、时间表、涂改痕迹和整理癖都可以成为他的人设外化，也适合承担真相回亮功能。,记录成瘾型观察者,只要还记得足够清楚，就不会再被同样的谎言和混乱吞掉一次,习惯抓时间差和重复点|情绪紧张时反而更依赖记录动作来稳定自己,常给团队补上关键缺口|也可能因过度沉迷细节而错过情感层信号,想起什么就记什么没有筛选力|记录只在作者需要时突然生效|没有任何生活层细节
CH-054,init|plan|write,队友,知识补充,高压嬉笑|苦中作乐|气氛托底|嘴贫队友,高压下还会开玩笑的角色怎么写|嘴贫队友怎么不讨厌|气氛担当人设,全部,他的玩笑要像自救和托底，不是毫无分寸地破坏场面。,高压嬉笑型托底者不是纯搞笑角色，他是在最紧的时候替所有人分担一点崩掉的风险。,这类角色适合缓冲压迫、承接群像节奏，也能在真正失去玩笑能力时反衬局势有多糟。,高压嬉笑型托底者,只要还能把人逗得喘一口气，队伍就还没到彻底散掉的时候,越危险越轻描淡写|关键时刻会把最重的话藏进玩笑里|真正害怕时反而更安静,能缓和团队情绪|也会被严肃派误解为不正经|崩不住时往往最戳人,一直插科打诨破坏情绪|嘴贫没有分寸和判断|只负责搞笑不承担任何重量
CH-055,init|plan|write,分析者,知识补充,证据主义|冷面分析|理性过度|只信证据,只信证据的角色怎么写|理性派人设怎么立|冷面分析师怎么塑造,悬疑|都市|科幻,别把理性写成没情感，而要写成他把情感也纳入风险评估里处理。,证据主义冷面分析者的张力，在于他常常是最可靠的大脑，也是最迟钝的情感参与者。,这类角色适合承担逻辑闭环、信息筛选和质疑众人共识的功能，但在人际上容易显得冷硬。,证据主义冷面分析者,只有经过验证的事实才配决定下一步，否则所有人都可能被情绪拖进坑里,先找证据链再表态|对巧合和热血表决天然警惕|很少接受未经验证的信任,与直觉派互补也冲突|往往在别人都慌时最稳|情感松动时反而最有份量,理性等于没脑子不会做人|关键证据摆面前还强拗|最后突然情绪化到像换人
CH-056,init|plan|write,幸存者,知识补充,老幸存者|被规则驯化|活下来的人|创伤规训,被规则折磨过的幸存者怎么写|老幸存者人设|创伤规训型角色,悬疑|奇幻,让他的谨慎、退缩和怪癖都能追溯到具体创伤经历，不要只靠一句他经历过很多。,被规则驯化的老幸存者身上最可怕的，不是他知道得多，而是他早就把异常当日常。,这类角色往往会有固定动作、回避清单和特殊禁忌，是极好的氛围与真相载体。,被规则驯化的老幸存者,靠绝不再犯旧错的方式苟活下去，并尽量避免别人步上同样的死路,会下意识规避某些时间、地点和措辞|对新人既冷酷又像在救命,像半个向导也像半个警告牌|主角越接近真相，他越容易出现失控和松口,创伤只体现在神神叨叨|知道很多却从不透露任何有效信息|行为怪异但没有内在逻辑
CH-057,init|plan|write,冒险者,知识补充,奖励成瘾|赌徒心理|越险越上头|高收益执念,为了奖励拼命的角色怎么写|赌徒型冒险者怎么立|高收益执念人设,悬疑|游戏,奖励成瘾不能只是贪财，要写出他为什么必须比别人更渴求高收益。,奖励成瘾型冒险者最危险的地方，是他总能看见别人不敢看的收益面，也因此更容易把命押进去。,他可能背着债、病、期限或执念，所以每一次高风险选择都既像自私，也像自救。,奖励成瘾型冒险者,普通收益根本不够救自己或救人，只能不断押向更高风险的那一边,会主动研究隐藏奖励和极限条件|明知危险仍倾向冲更高评级,能带来突破也能制造巨大压力|常和保守派在路线选择上对撞,贪得无厌却没有原因|每次赌博都赢没有反噬|别人永远容忍他的冒险行为
CH-058,init|plan|write,普通人,知识补充,低配天赋|普通人逆撑|高执行力|笨办法强者,普通但很能扛的角色怎么写|低天赋高执行力人设|没外挂的人怎么立,全部,让他的厉害来自准备、重复、纪律和韧性，而不是突然觉醒隐藏神技。,低配天赋高执行力角色最让人服气，因为他不是靠天降转运，而是靠一遍遍把别人嫌笨的事做对。,这类角色很适合承担后勤、稳定输出、兜底执行和以普通人视角映照主角的功能。,低配天赋高执行力普通人,既然天赋不够，就只能把准备、纪律和耐力堆到别人追不上的程度,习惯提前预案、重复演练和死磕细节|不追求一步翻盘而追求稳定活到最后,前期容易被轻视|后期往往最值得托付关键执行环节|极适合做口碑型角色,普通人却次次硬打顶级对手|最后突然隐藏血统爆开|高执行力只停留在口头描述
CH-059,init|plan|write,主角,知识补充,读者代入|初始困境|成长空间|核心缺口,主角怎么让读者代入|主角起点怎么设|成长空间怎么留,全部,主角初始状态要同时给困境、能力种子和情绪缺口，让读者知道他为什么必须变强。,好主角不是开局完美，而是有一个读者愿意陪他补上的核心缺口。,困境负责代入，能力种子负责期待，情绪缺口负责长期牵引，三者缺一项都会让成长线变虚。,缺口驱动型主角,补上自己最不能忍受的缺口，同时证明自己有资格改变处境,遇事会先从缺口出发做判断|越成长越能正视旧伤或旧弱点,与导师|反派|亲密关系共同压出成长节点,开局完美无缺|困境只是背景不影响选择|成长只涨战力不改心态
CH-060,init|plan|write,配角,知识补充,功能型配角|情绪型配角|信息型配角|关系定位,配角怎么设计|每个配角有什么用|角色功能怎么分,全部,配角先定故事功能，再定性格和关系，不要为了热闹塞人。,有效配角至少承担信息、情绪、冲突、镜像或执行中的一种明确功能。,功能明确后，配角的出场频率、说话方式和成长空间才有边界，不会抢主线也不会像工具人。,功能锚定型配角,用自己独有的功能为主线提供信息、压力、情绪或行动支点,每次出场至少推进一件事|功能完成后要么升级要么退场,和主角形成互补|照镜|牵制|补证等关系,配角很多但功能重复|只负责捧哏或解释|出场不改变任何局面
CH-061,init|plan|write,导师,知识补充,导师角色|精神引路|能力瓶颈|旧时代遗留,导师怎么写|师父角色怎么不工具人|引路人怎么安排,玄幻|仙侠|奇幻|历史|都市,导师不能只发技能包，还要带着自己的旧债、边界和价值判断。,好的导师给主角路标，也给主角未来可能付出的代价预警。,导师可以教方法、补常识、压心性或提供旧时代真相，但必须有不能代替主角完成任务的理由。,带旧债的导师,把自己没走完或走错过的路转化为主角的警告和助力,给方向不给答案|关键时刻因旧伤|身份|规则限制不能出手,既保护主角又会用自己的价值观约束主角,导师无所不能却不出手没理由|只负责讲设定|死亡只为煽情没有主题意义
CH-062,init|plan|write,反派,知识补充,自我正义|复杂反派|价值观对立|反差魅力,反派动机怎么写|反派怎么不脸谱化|价值观反派怎么塑造,全部,反派要有自认正确的逻辑链，并在资源、智谋或影响力上构成系统威胁。,立体反派最重要的是他不是为了坏而坏，而是在另一个价值排序里自洽。,给反派动机来源、正当化理由、人性弱点和不可退让点，读者才会怕他也记住他。,自我正义型反派,用自己的秩序替世界止损或重排权力，并坚信代价值得,越接近目标越冷静|会善待少数人但牺牲多数人|不轻易做无收益恶行,和主角在目标或创伤上相似，在手段与价值排序上相反,只会作恶无动机|每次行动都为衬托主角|临近失败突然失智
CH-063,init|plan|write,关系,知识补充,互补搭档|性格互补|能力拼图|吵闹同盟,搭档关系怎么写|队友怎么互补|欢喜冤家怎么不吵空,全部,搭档关系要让能力互补和价值冲突同时存在，既能帮彼此也能逼彼此成长。,好搭档不是永远合拍，而是关键时刻谁也替代不了谁。,一个负责冲锋一个负责收束，一个凭直觉一个看证据，互补越具体，互动就越有戏。,互补冲突型搭档,用自己的优势补对方短板，同时被对方逼着修正盲区,日常互怼|危机互保|重大选择时容易因方法不同冲突,在行动上彼此依赖|在价值上彼此校正,只靠斗嘴没有互补|一方长期拖后腿|关键时刻功能可被任何人替代
CH-064,init|plan|write,女频,知识补充,白月光|替身|绿茶|霸总|病娇边界,女频核心人设怎么写|白月光绿茶怎么不脸谱|霸总怎么不油,现言|古言|幻言,女频高频人设要给真实诉求和边界，不要只贴白月光、绿茶、霸总标签。,标签型角色能快速被读者识别，但必须用动机和行为细节把人立起来。,白月光可以有遗憾和软弱，绿茶要有生存策略，霸总要有权力代价，病娇必须有边界和后果。,标签反写型女频人设,在熟悉标签里写出合理欲望和具体代价,会利用标签优势|但每次操控或偏执都有现实后果,与女主形成竞争|镜像|旧伤|救赎或清算关系,只靠标签推进剧情|霸总无边界强控被当浪漫|绿茶永远无脑作恶
CH-065,init|plan|write,年代,知识补充,熟人社会|邻里角色|单位人设|家族位置,年代文人物怎么立|四合院群像怎么写|邻里角色怎么区分,年代,年代角色要嵌在家庭、单位、邻里和票证资源里，身份位置会直接决定行为逻辑。,年代文人物不是孤立个体，他背后总有单位、街坊、亲戚和口粮关系。,同样一句话由车间主任、街道大妈、寡嫂、学徒工说出来，权力和算盘都不同。,熟人社会位置型角色,在有限资源和熟人目光中保住体面、饭碗或家人利益,说话顾及单位和邻里评价|做事常要考虑票证|名声|关系,容易因小资源引发大冲突|群像互动天然带人情账,角色像现代自由人一样行动|没有单位和邻里约束|所有人说话一个腔
CH-066,init|plan|write,快穿,知识补充,任务者|原主执念|目标人物|世界适配,快穿主角怎么立|原主执念怎么写|攻略目标怎么不工具,快穿,快穿角色要区分任务者自我、原主遗留和当前世界目标，别把所有世界写成同一种人格。,快穿好看在于同一个任务者不断被不同世界的执念和关系改写。,任务者有长期价值观，原主有未了心愿，目标人物有自己的动机，三者冲突才会让单元有新鲜感。,三层身份快穿角色,完成任务的同时处理原主遗憾，并防止自己被世界情感吞没,会用任务逻辑开局|逐渐受原主关系和目标人物影响|结算时带走心态变化,与系统|原主关系网|目标人物形成三重拉扯,每个世界只换名字不换处境|原主执念像任务清单|攻略对象没有独立意志
CH-067,init|plan|write,女主,知识补充,替身女主|身份认同|自我找回|尊严边界,替身女主怎么写|不当替身的女主怎么立|女主觉醒怎么写,现言|古言,替身女主的成长核心是从被比较到自我命名，不是等男主发现她更好。,替身女主好看在于她逐步意识到自己不该活在别人影子里。,她可以脆弱、动摇、仍然心软，但关键节点必须拥有拒绝继续被替代的行动。,自我找回型替身女主,拿回自己的名字、选择和关系定义权,初期忍耐和自我怀疑|中期察觉替代痕迹|后期主动退出或清算,与男主从投射关系转向真实关系或彻底断开,女主只负责受虐等待男主醒悟|觉醒全靠别人提醒|尊严回收后立刻被复合冲掉
CH-068,init|plan|write,男主,知识补充,追妻男主|迟钝伤害者|赎罪行动|边界学习,追妻男主怎么写|火葬场男主怎么不油|男主赎罪怎么成立,现言|古言,追妻男主的核心不是痛哭，而是学会承认伤害、补偿后果并尊重对方选择。,有效火葬场男主要从控制欲转向边界感，否则追妻会变成二次伤害。,他的成长应体现在停止逼迫、公开承担、归还选择权和长期行动补账。,边界学习型追妻男主,不再把爱当成占有，而是把亏欠一件件还清,前期自以为深情实则控制|中期失去资格|后期用行动补偿但不索要原谅,与女主从伤害者和被伤害者关系转向可被重新评估的成年人关系,靠强势围堵当浪漫|道歉替代赎罪|痛苦越多越像有资格被原谅
CH-069,init|plan|write,白月光,知识补充,白月光|旧爱投影|真实白月光|被神化的人,白月光怎么写不脸谱|白月光回来怎么处理|替身文白月光人设,现言|古言,白月光要从符号还原成人，让她也有选择、软弱和被误解处。,真正高级的白月光不是纯恶毒竞争者，而是照出男主记忆滤镜的人。,她可以善良、算计、疲惫或自私，但必须有独立处境，不能只为折磨女主服务。,去神化白月光,摆脱他人记忆里的完美版本，夺回自己的真实处境,会被男主或旁人投射|回归后打破旧滤镜|也可能对替身女主产生复杂共情,与女主既竞争又互照|与男主构成旧滤镜破裂现场,白月光只会作妖|完美或恶毒到不像人|存在意义只是推动追妻
CH-070,init|plan|write,规则,知识补充,规则怪谈新人|不信规则者|试错者|死亡教材,规则怪谈新人怎么写|不信规则的人怎么安排|试错配角怎么不工具,悬疑,不信规则的新人要有现实逻辑和性格依据，他的失败应提供信息而非只当炮灰。,规则怪谈里的试错者最好让读者理解他为什么会错，这样后果才更有教学价值。,他可能过度相信常识、急着救人、贪奖励或不服权威，违规后留下的后果应帮助主角修正规则理解。,规则试错型新人,用自己的常识或欲望撞上副本真实规则,会质疑荒谬条款|倾向用现实经验解释异常|出事后留下可分析线索,与谨慎派形成冲突|死亡或异化后成为规则证据,单纯作死|所有人都劝还硬送|死亡没有任何信息价值
CH-071,init|plan|write,规则,知识补充,怪谈向导|半真半假|被污染引路人|副本NPC,规则怪谈向导怎么写|NPC怎么可信又危险|引路人怎么设计,悬疑,怪谈向导要同时有帮助和不可信之处，让角色必须判断哪些话能信。,副本引路人的魅力在于他可能真想救你，也可能已经被规则改写。,他的语气、避讳、重复动作和不能回答的问题都能暗示污染程度。,半污染向导,在规则允许范围内提供帮助，同时保护自己不被更深层规则吞掉,能说一半留一半|对某些词异常敏感|关键处会突然沉默或重复,既像救命绳也像陷阱|主角越依赖越需要验证,向导全知全能|只会吓人不给有效信息|背叛没有前兆
CH-072,init|plan|write,玄幻,知识补充,宗门天骄|竞争对手|同门劲敌|天赋压力,宗门天骄怎么写|同门竞争怎么有戏|天才对手怎么不脸谱,玄幻|仙侠,宗门天骄要有自己的资源压力和骄傲来源，不要只负责看不起主角。,好看的同门劲敌不是坏，而是他确实背负着天才应该赢的成本。,他的傲慢来自长期第一、家族投入、师门期待或修炼理念，与主角冲突后也能被迫成长。,压力型宗门天骄,守住天才身份和背后投注在自己身上的资源期待,习惯用排名和规则判断人|被追上后会先否认再正视,与主角竞争资源|互相刺激突破|可从敌意转成承认,只会嘲讽主角|失败后立刻消失|天才身份没有任何压力
CH-073,init|plan|write,种田,知识补充,经营搭档|手艺人|账房型配角|渠道伙伴,种田配角怎么写|经营搭档怎么立|账房手艺人有什么用,种田|年代|都市,种田经营配角要各自掌握手艺、渠道、账目或人情，别全员围着主角夸。,经营文群像的价值在于每个人都能补上产业链的一环。,厨娘、账房、跑腿、供货人、熟客和邻里关系户都能成为经营扩张的关键节点。,产业链功能型配角,用自己的手艺、渠道或人情帮助小生意变成稳定盘子,关注成本和口碑|对扩张有不同风险判断|能提出现实阻力,与主角构成分工合作|也会因利益分配产生摩擦,配角只负责夸产品|经营能力全靠主角一人|没有成本和分账意识
CH-074,init|plan|write,快穿,知识补充,系统人格|毒舌系统|客服系统|隐瞒真相,快穿系统人设怎么写|系统怎么不工具|毒舌系统怎么有戏,快穿,系统人格要有服务边界和隐瞒理由，不能只负责报任务和吐槽。,好系统是任务规则的脸，也是长期关系的一部分。,它可以毒舌、冷漠、客服化或像老母亲，但必须受权限限制，有不能说的真相。,有限权限系统,在规则允许范围内保护宿主或推进任务，同时隐藏更高层真相,会发布任务|提醒风险|关键处因权限沉默,与宿主从工具关系变成互相试探或信任关系,系统全知全能|只会卖萌吐槽|关键真相随便说
CH-075,init|plan|write,快穿,知识补充,原主亲友|遗留关系|被亏欠者|旧关系回声,快穿原主关系怎么写|原主亲友怎么处理|遗留关系怎么不工具,快穿,原主关系网要保留情感惯性，让主角不能像换账号一样清空过去。,快穿单元的厚度来自原主留下的人情债和伤口。,亲人、旧友、仇人、恩人和被辜负者都应带着对原主的既定判断进入新剧情。,原主遗留关系网,让原主未完的爱恨在任务者身上继续讨要答案,会按旧印象对待主角|对变化产生怀疑|保留旧证据和旧情绪,逼任务者处理不属于自己却必须承担的关系债,原主关系全是背景板|主角来了后所有人立刻改观|旧关系不影响任务
CH-076,init|plan|write,游戏,知识补充,电竞队长|指挥位|团队核心|抗压领袖,电竞队长怎么写|游戏指挥位怎么立|团队核心人设,游戏,电竞队长要承担战术、情绪和赛后责任，不只是最强选手。,队长的魅力在于他既要做正确决策，也要替队伍扛错误后果。,他可以不是操作最秀的人，但必须能读局势、压心态、分配资源和复盘责任。,抗压指挥型队长,带队伍赢下该赢的局，也替队友扛住输局后的压力,比赛中话短而准|优先看全局|赛后先复盘自己,与天才输出位互补|和教练有策略分歧|是团队情绪锚点,队长只负责喊口号|输局全怪队友|没有战术判断
CH-077,init|plan|write,游戏,知识补充,天才选手|操作怪|短板明显|团队磨合,电竞天才怎么写|操作怪怎么不龙傲天|天才选手短板,游戏,天才选手要有操作上限和团队短板，成长点通常在配合和心态。,电竞天才如果只会赢会很快无聊，真正好看的是他学会把个人强变成团队强。,他的手速、反应和创造力可以顶级，但沟通、纪律或抗压可能是短板。,高上限低磨合天才,证明自己不只是能秀，而是能让队伍一起赢,喜欢冒险操作|对常规纪律不耐烦|输给团队问题时会暴躁,与队长|辅助|教练形成磨合线,天才永远单刷赢|队友只是挂件|短板从不造成后果
CH-078,init|plan|write,历史,知识补充,门阀子弟|官场新人|家族利益|仕途压力,历史官场新人怎么写|门阀子弟人设|仕途压力怎么立,历史|古言,历史官场角色要背着家族、师门和仕途风险行动，不能像孤胆英雄。,门阀子弟的每一步都不只代表自己，他的聪明和怯懦都来自身后利益网。,家族声望、座师门生、姻亲、党争和前程都应影响他说话和站队。,家族仕途绑定者,在个人判断和家族利益之间保住前程与底线,说话留余地|站队前先看牵连|会用礼法包装利益,与主角可能合作也可能因家族压力背刺,像现代人一样只为自己行动|家族背景不产生压力|官场风险只靠口头描述
